[1320, 1176]
[folio, [99.0, 60.0, 153.0, 18.0], shoonya_0s7IUZYTC0URT8, 5694616]
[folio, [99.0, 78.0, 153.0, 18.0], shoonya_0s7IUZYTC0URT8, 5694616]
[folio, [99.0, 96.0, 153.0, 18.0], shoonya_0s7IUZYTC0URT8, 5694616]
[folio, [99.0, 114.0, 153.0, 18.0], shoonya_0s7IUZYTC0URT8, 5694616]
[folio, [99.0, 132.0, 153.0, 18.0], shoonya_0s7IUZYTC0URT8, 5694616]
[folio, [99.0, 150.0, 153.0, 18.0], shoonya_0s7IUZYTC0URT8, 5694616]
[paragraph, [86.0, 191.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 209.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 227.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 245.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 263.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 281.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 299.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 317.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 335.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 353.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 371.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 389.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 407.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 425.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 443.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 461.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 479.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 497.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 515.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 533.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 551.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 569.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 587.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 605.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 623.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [86.0, 641.0, 329.0, 18.0], sVOAue1v5P, 5694616]
[paragraph, [431.0, 191.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 209.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 227.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 245.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 263.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 281.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 299.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 317.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 335.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
[paragraph, [431.0, 353.0, 316.0, 18.0], WpoiBxL_O9, 5694616]
