[1425, 1088]
[figure-caption, [219.0, 443.0, 172.0, 18.0], shoonya_4s0ZZNTK3Q412X, 5759240]
[figure-caption, [610.0, 443.0, 314.0, 18.0], shoonya_6sFEYZLTOGLHOK, 5759240]
[figure-caption, [271.0, 470.0, 582.0, 18.0], shoonya_10s1JO3P1X8WPV, 5759240]
[section-title, [139.0, 510.0, 757.0, 30.0], shoonya_8sPGE9F1I9K5JV, 5759240]
[ordered-list, [135.0, 552.0, 505.0, 18.0], shoonya_9sSBHHC6KE3P92, 5759240]
[ordered-list, [135.0, 570.0, 505.0, 18.0], shoonya_9sSBHHC6KE3P92, 5759240]
[ordered-list, [135.0, 588.0, 505.0, 18.0], shoonya_9sSBHHC6KE3P92, 5759240]
[ordered-list, [135.0, 606.0, 505.0, 18.0], shoonya_9sSBHHC6KE3P92, 5759240]
[ordered-list, [135.0, 624.0, 505.0, 18.0], shoonya_9sSBHHC6KE3P92, 5759240]
[ordered-list, [135.0, 642.0, 505.0, 18.0], shoonya_9sSBHHC6KE3P92, 5759240]
[section-title, [143.0, 710.0, 485.0, 30.0], shoonya_7s0FI9BP497EEI, 5759240]
[paragraph, [142.0, 754.0, 845.0, 18.0], kC3LD6YutS, 5759240]
[paragraph, [142.0, 772.0, 845.0, 18.0], kC3LD6YutS, 5759240]
[paragraph, [142.0, 790.0, 845.0, 18.0], kC3LD6YutS, 5759240]
[paragraph, [142.0, 808.0, 845.0, 18.0], kC3LD6YutS, 5759240]
[paragraph, [142.0, 826.0, 845.0, 18.0], kC3LD6YutS, 5759240]
[unordered-list, [132.0, 878.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 896.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 914.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 932.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 950.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 968.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 986.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1004.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1022.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1040.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1058.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1076.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1094.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1112.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1130.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1148.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1166.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1184.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1202.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1220.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[unordered-list, [132.0, 1238.0, 861.0, 18.0], shoonya_2sGULX1VCDSWBU, 5759240]
[folio, [826.0, 1348.0, 157.0, 18.0], shoonya_3sC52NJSD5XMKU, 5759240]
