[1839, 1268]
[paragraph, [210.0, 197.0, 938.0, 36.0], shoonya_0sL6W7IOSICPPJ, 5743972]
[paragraph, [210.0, 233.0, 938.0, 36.0], shoonya_0sL6W7IOSICPPJ, 5743972]
[paragraph, [210.0, 269.0, 938.0, 36.0], shoonya_0sL6W7IOSICPPJ, 5743972]
[paragraph, [210.0, 305.0, 938.0, 36.0], shoonya_0sL6W7IOSICPPJ, 5743972]
[paragraph, [210.0, 341.0, 938.0, 36.0], shoonya_0sL6W7IOSICPPJ, 5743972]
[paragraph, [210.0, 377.0, 938.0, 36.0], shoonya_0sL6W7IOSICPPJ, 5743972]
[paragraph, [210.0, 413.0, 938.0, 36.0], shoonya_0sL6W7IOSICPPJ, 5743972]
[paragraph, [215.0, 496.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 532.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 568.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 604.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 640.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 676.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 712.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 748.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 784.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 820.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 856.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 892.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 928.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 964.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1000.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1036.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1072.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1108.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1144.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1180.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1216.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1252.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1288.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1324.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1360.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1396.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1432.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1468.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1504.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
[paragraph, [215.0, 1540.0, 946.0, 36.0], 9Z9bDK2IRp, 5743972]
