[1267, 753]
[folio, [323.0, 71.0, 115.0, 18.0], shoonya_2s7YQGSF139H0Y, 5699302]
[paragraph, [73.0, 112.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 130.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 148.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 166.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 184.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 202.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 220.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 238.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 256.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 274.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 292.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 310.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 328.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 346.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 364.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 382.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 400.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 418.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 436.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 454.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 472.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 490.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 508.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 526.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 544.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 562.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 580.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 598.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 616.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 634.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 652.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [73.0, 670.0, 606.0, 18.0], shoonya_0s7QGL7EHJDIBO, 5699302]
[paragraph, [72.0, 699.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 717.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 735.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 753.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 771.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 789.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 807.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 825.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 843.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 861.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 879.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 897.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 915.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 933.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
[paragraph, [72.0, 951.0, 605.0, 18.0], shoonya_1sAPUAEZHX6JGZ, 5699302]
