[4210, 2980]
[folio, [2242.0, 204.0, 447.0, 52.5], shoonya_1sC6UZ7EGLCP0A, 5699070]
[ordered-list, [469.0, 349.0, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 401.5, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 454.0, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 506.5, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 559.0, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 611.5, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 664.0, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 716.5, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 769.0, 2227.0, 52.5], EUC73_JgAf, 5699070]
[ordered-list, [469.0, 821.5, 2227.0, 52.5], EUC73_JgAf, 5699070]
[paragraph, [424.0, 930.0, 2305.0, 52.5], A9oERtT4K7, 5699070]
[paragraph, [424.0, 982.5, 2305.0, 52.5], A9oERtT4K7, 5699070]
[paragraph, [424.0, 1035.0, 2305.0, 52.5], A9oERtT4K7, 5699070]
[section-title, [1277.0, 1131.0, 207.0, 93.0], yKctxngTLE, 5699070]
[answer, [316.0, 1380.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1432.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1485.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1537.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1590.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1642.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1695.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1747.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1800.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1852.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1905.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 1957.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2010.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2062.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2115.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2167.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2220.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2272.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2325.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2377.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2430.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2482.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2535.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2587.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2640.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2692.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2745.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2797.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2850.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2902.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 2955.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3007.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3060.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3112.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3165.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3217.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3270.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3322.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3375.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3427.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3480.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3532.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3585.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3637.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3690.0, 2410.0, 52.5], 03dcE6AuHm, 5699070]
[answer, [316.0, 3742.5, 2410.0, 52.5], 03dcE6AuHm, 5699070]
