[2339, 1654]
[folio, [1332.0, 58.0, 254.0, 36.0], f7f180lk9t, 5750620]
[paragraph, [282.0, 107.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 143.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 179.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 215.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 251.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 287.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 323.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 359.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 395.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 431.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 467.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 503.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 539.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 575.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 611.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 647.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 683.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 719.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[paragraph, [282.0, 755.0, 1167.0, 36.0], shoonya_2sD4DTA167WGU9, 5750620]
[reference, [988.0, 835.0, 422.0, 36.0], shoonya_0sA37RNO7ZK8EA, 5750620]
[paragraph, [132.0, 887.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 923.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 959.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 995.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1031.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1067.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1103.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1139.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1175.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1211.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1247.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1283.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1319.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1355.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1391.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1427.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1463.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
[paragraph, [132.0, 1499.0, 1446.0, 36.0], shoonya_1sWGT6ZXDSONNT, 5750620]
