[1418, 1064]
[section-title, [71.0, 95.0, 205.0, 30.0], KOZQvUg2La, 6476937]
[paragraph, [83.0, 150.0, 897.0, 18.0], yI40oXah-L, 6476937]
[paragraph, [83.0, 168.0, 897.0, 18.0], yI40oXah-L, 6476937]
[paragraph, [83.0, 186.0, 897.0, 18.0], yI40oXah-L, 6476937]
[ordered-list, [70.0, 229.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 247.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 265.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 283.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 301.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 319.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 337.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 355.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 373.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 391.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 409.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 427.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 445.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 463.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 481.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 499.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 517.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 535.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 553.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 571.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 589.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 607.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[ordered-list, [70.0, 625.0, 910.0, 18.0], shoonya_0sX1QQY9Z8MH80, 6476937]
[folio, [56.0, 1313.0, 940.0, 18.0], G1lT15DXqe, 6476937]
[folio, [56.0, 1331.0, 940.0, 18.0], G1lT15DXqe, 6476937]
[folio, [56.0, 1349.0, 940.0, 18.0], G1lT15DXqe, 6476937]
[folio, [56.0, 1367.0, 940.0, 18.0], G1lT15DXqe, 6476937]
[folio, [611.0, 1343.0, 376.0, 18.0], I7G2QCpDES, 6476937]
[folio, [611.0, 1361.0, 376.0, 18.0], I7G2QCpDES, 6476937]
