[596, 420]
[folio, [173.0, 43.0, 68.0, 18.0], shoonya_0s2LE4RIOMD6LQ, 5746404]
[ordered-list, [8.0, 68.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 86.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 104.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 122.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 140.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 158.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 176.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 194.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 212.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 230.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 248.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 266.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 284.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 302.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 320.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 338.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 356.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 374.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 392.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 410.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 428.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 446.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 464.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 482.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 500.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 518.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[ordered-list, [8.0, 536.0, 397.0, 18.0], K8D7Xq6PYL, 5746404]
[sub-ordered-list, [48.0, 322.0, 350.0, 18.0], v9i3-yZpNU, 5746404]
[sub-ordered-list, [48.0, 340.0, 350.0, 18.0], v9i3-yZpNU, 5746404]
[sub-ordered-list, [48.0, 358.0, 350.0, 18.0], v9i3-yZpNU, 5746404]
[sub-ordered-list, [48.0, 376.0, 350.0, 18.0], v9i3-yZpNU, 5746404]
[sub-ordered-list, [48.0, 394.0, 350.0, 18.0], v9i3-yZpNU, 5746404]
