[579, 396]
[paragraph, [97.0, 33.0, 240.0, 18.0], -fxYIQ_XVS, 6494954]
[paragraph, [97.0, 51.0, 240.0, 18.0], -fxYIQ_XVS, 6494954]
[paragraph, [97.0, 69.0, 240.0, 18.0], -fxYIQ_XVS, 6494954]
[paragraph, [97.0, 87.0, 240.0, 18.0], -fxYIQ_XVS, 6494954]
[paragraph, [97.0, 128.0, 223.0, 18.0], tU2EBoCnC6, 6494954]
[paragraph, [97.0, 146.0, 223.0, 18.0], tU2EBoCnC6, 6494954]
[paragraph, [97.0, 164.0, 223.0, 18.0], tU2EBoCnC6, 6494954]
[paragraph, [97.0, 182.0, 223.0, 18.0], tU2EBoCnC6, 6494954]
[paragraph, [97.0, 200.0, 223.0, 18.0], tU2EBoCnC6, 6494954]
[paragraph, [97.0, 218.0, 223.0, 18.0], tU2EBoCnC6, 6494954]
[paragraph, [97.0, 236.0, 223.0, 18.0], tU2EBoCnC6, 6494954]
[paragraph, [104.0, 266.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [104.0, 284.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [104.0, 302.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [104.0, 320.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [104.0, 338.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [104.0, 356.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [104.0, 374.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [104.0, 392.0, 218.0, 18.0], eYdg0tIFzl, 6494954]
[paragraph, [106.0, 423.0, 161.0, 18.0], ppDJz4xd7s, 6494954]
[paragraph, [106.0, 441.0, 161.0, 18.0], ppDJz4xd7s, 6494954]
[paragraph, [106.0, 459.0, 161.0, 18.0], ppDJz4xd7s, 6494954]
[paragraph, [106.0, 477.0, 161.0, 18.0], ppDJz4xd7s, 6494954]
[folio, [145.0, 518.0, 114.0, 18.0], deUFV2wMpo, 6494954]
