[1951, 1219]
[folio, [784.0, 122.0, 194.0, 36.0], shoonya_0sZ6WYXKIZA5S3, 5683005]
[paragraph, [121.0, 217.0, 966.0, 36.0], AT8ZDPwKkK, 5683005]
[paragraph, [121.0, 253.0, 966.0, 36.0], AT8ZDPwKkK, 5683005]
[paragraph, [121.0, 289.0, 966.0, 36.0], AT8ZDPwKkK, 5683005]
[paragraph, [121.0, 325.0, 966.0, 36.0], AT8ZDPwKkK, 5683005]
[paragraph, [121.0, 361.0, 966.0, 36.0], AT8ZDPwKkK, 5683005]
[paragraph, [121.0, 397.0, 966.0, 36.0], AT8ZDPwKkK, 5683005]
[paragraph, [199.0, 455.0, 574.0, 36.0], iH_xBHOGY3, 5683005]
[paragraph, [120.0, 510.0, 969.0, 36.0], p99rPlHiYL, 5683005]
[paragraph, [120.0, 546.0, 969.0, 36.0], p99rPlHiYL, 5683005]
[paragraph, [120.0, 582.0, 969.0, 36.0], p99rPlHiYL, 5683005]
[paragraph, [205.0, 627.0, 475.0, 36.0], isTwKCYOi_, 5683005]
[paragraph, [213.0, 688.0, 118.0, 36.0], JfhQpjIk9q, 5683005]
[paragraph, [213.0, 746.0, 266.0, 36.0], I8h-yazGUt, 5683005]
[paragraph, [205.0, 804.0, 246.0, 36.0], _iLCydGjzs, 5683005]
[paragraph, [126.0, 862.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 898.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 934.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 970.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 1006.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 1042.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 1078.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 1114.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [126.0, 1150.0, 966.0, 36.0], TuJi5TaijF, 5683005]
[paragraph, [205.0, 1204.0, 533.0, 36.0], rjWHmzeY7w, 5683005]
[paragraph, [121.0, 1262.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1298.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1334.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1370.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1406.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1442.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1478.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1514.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1550.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [121.0, 1586.0, 970.0, 36.0], N6VQG7vm-J, 5683005]
[paragraph, [199.0, 1667.0, 420.0, 36.0], VEk4qPTUWw, 5683005]
[paragraph, [118.0, 1723.0, 967.0, 36.0], vwpUccOkEW, 5683005]
[paragraph, [118.0, 1759.0, 967.0, 36.0], vwpUccOkEW, 5683005]
[paragraph, [118.0, 1795.0, 967.0, 36.0], vwpUccOkEW, 5683005]
