[842, 596]
[ordered-list, [70.0, 71.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 89.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 107.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 125.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 143.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 161.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 179.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 197.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 215.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 233.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 251.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 269.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 287.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 305.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 323.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 341.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 359.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 377.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 395.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 413.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 431.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 449.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 467.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 485.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 503.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 521.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 539.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 557.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 575.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 593.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 611.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 629.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 647.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 665.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 683.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 701.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 719.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[ordered-list, [70.0, 737.0, 464.0, 18.0], shoonya_0sYGSD4KSV7TE4, 5658194]
[footnote, [79.0, 777.0, 462.0, 18.0], shoonya_1s3OMCKML522LJ, 5658194]
