[2078, 1512]
[folio, [62.0, 34.0, 674.0, 36.0], IZStkFRzpl, 5712539]
[section-title, [66.0, 139.0, 1159.0, 52.5], shoonya_2sAHYPA5RP7F6L, 5712539]
[contact-info, [104.0, 270.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [104.0, 306.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [104.0, 342.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [104.0, 378.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [104.0, 414.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [104.0, 450.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [104.0, 486.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [104.0, 522.0, 451.0, 36.0], b7XA9Ltl9D, 5712539]
[contact-info, [715.0, 576.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 612.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 648.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 684.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 720.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 756.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 792.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 828.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 864.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 900.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[contact-info, [715.0, 936.0, 655.0, 36.0], 1Yh6-NdEzT, 5712539]
[section-title, [43.0, 1024.0, 747.0, 52.5], VE8tv215sT, 5712539]
[section-title, [43.0, 1076.5, 747.0, 52.5], VE8tv215sT, 5712539]
[contact-info, [981.0, 1713.0, 308.0, 36.0], XN5w9QFp25, 5712539]
[contact-info, [981.0, 1749.0, 308.0, 36.0], XN5w9QFp25, 5712539]
[contact-info, [981.0, 1785.0, 308.0, 36.0], XN5w9QFp25, 5712539]
[contact-info, [981.0, 1821.0, 308.0, 36.0], XN5w9QFp25, 5712539]
[contact-info, [981.0, 1857.0, 308.0, 36.0], XN5w9QFp25, 5712539]
