[3509, 2480]
[paragraph, [360.0, 387.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 439.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 492.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 544.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 597.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 649.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 702.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 754.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 807.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 859.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 912.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 964.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 1017.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 1069.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 1122.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 1174.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 1227.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 1279.5, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [360.0, 1332.0, 1767.0, 52.5], shoonya_2s4H1V5MXLOXW5, 5723919]
[paragraph, [508.0, 1444.0, 1109.0, 52.5], tyuxXmJeGq, 5723919]
[paragraph, [508.0, 1496.5, 1109.0, 52.5], tyuxXmJeGq, 5723919]
[paragraph, [508.0, 1549.0, 1109.0, 52.5], tyuxXmJeGq, 5723919]
[folio, [1264.0, 1652.0, 762.0, 52.5], xsZuA2ZNlH, 5723919]
[paragraph, [370.0, 1788.0, 1754.0, 52.5], shoonya_1sG19MTZ1UVOUD, 5723919]
[paragraph, [370.0, 1840.5, 1754.0, 52.5], shoonya_1sG19MTZ1UVOUD, 5723919]
[paragraph, [370.0, 1893.0, 1754.0, 52.5], shoonya_1sG19MTZ1UVOUD, 5723919]
[paragraph, [370.0, 1945.5, 1754.0, 52.5], shoonya_1sG19MTZ1UVOUD, 5723919]
[paragraph, [370.0, 1998.0, 1754.0, 52.5], shoonya_1sG19MTZ1UVOUD, 5723919]
[paragraph, [365.0, 2120.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2172.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2225.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2277.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2330.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2382.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2435.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2487.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2540.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2592.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2645.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2697.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2750.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2802.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2855.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2907.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 2960.0, 1767.0, 52.5], RGvWxmByxi, 5723919]
[paragraph, [365.0, 3012.5, 1767.0, 52.5], RGvWxmByxi, 5723919]
