[2339, 1656]
[headline, [603.0, 198.0, 425.0, 67.5], shoonya_0sSF9DDA4WHWBG, 5753032]
[paragraph, [265.0, 331.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 367.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 403.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 439.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 475.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 511.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 547.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 583.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 619.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 655.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 691.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 727.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 763.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 799.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 835.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 871.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 907.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 943.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [265.0, 979.0, 864.0, 36.0], fZEjq7h_QI, 5753032]
[paragraph, [277.0, 1087.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [277.0, 1123.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [277.0, 1159.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [277.0, 1195.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [277.0, 1231.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [277.0, 1267.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [277.0, 1303.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [277.0, 1339.0, 862.0, 36.0], iHZHk4WOMt, 5753032]
[paragraph, [265.0, 1485.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1521.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1557.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1593.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1629.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1665.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1701.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1737.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1773.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1809.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1845.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1881.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1917.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1953.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 1989.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 2025.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[paragraph, [265.0, 2061.0, 636.0, 36.0], tgsOKorqVG, 5753032]
[folio, [1110.0, 2156.0, 511.0, 36.0], NVTNpkVv-S, 5753032]
[dateline, [1194.0, 2238.0, 427.0, 64.5], yN-8ee3x9f, 5753032]
