[1806, 1262]
[folio, [587.0, 100.0, 506.0, 36.0], shoonya_6sUSGO7RMP5ICE, 5681666]
[paragraph, [654.0, 181.0, 504.0, 36.0], shoonya_2sY673F239I6VK, 5681666]
[paragraph, [654.0, 217.0, 504.0, 36.0], shoonya_2sY673F239I6VK, 5681666]
[paragraph, [654.0, 253.0, 504.0, 36.0], shoonya_2sY673F239I6VK, 5681666]
[paragraph, [654.0, 289.0, 504.0, 36.0], shoonya_2sY673F239I6VK, 5681666]
[paragraph, [654.0, 325.0, 504.0, 36.0], shoonya_2sY673F239I6VK, 5681666]
[paragraph, [654.0, 361.0, 504.0, 36.0], shoonya_2sY673F239I6VK, 5681666]
[paragraph, [654.0, 397.0, 504.0, 36.0], shoonya_2sY673F239I6VK, 5681666]
[paragraph, [97.0, 183.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 219.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 255.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 291.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 327.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 363.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 399.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 435.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 471.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 507.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 543.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 579.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 615.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 651.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 687.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 723.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 759.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 795.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 831.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 867.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 903.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 939.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 975.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 1011.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 1047.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 1083.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 1119.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
[paragraph, [97.0, 1155.0, 514.0, 36.0], shoonya_0sTD8SJQRLSZQI, 5681666]
