[1755, 1240]
[paragraph, [227.0, 225.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 261.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 297.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 333.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 369.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 405.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 441.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 477.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 513.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 549.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 585.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 621.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 657.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 693.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 729.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 765.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 801.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 837.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 873.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 909.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 945.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 981.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1017.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1053.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1089.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1125.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1161.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1197.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1233.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1269.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1305.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1341.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1377.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[paragraph, [227.0, 1413.0, 789.0, 36.0], shoonya_0sJJM8YMUH3MZB, 5743756]
[folio, [331.0, 1492.0, 522.0, 36.0], -PYtHJh8Fh, 5743756]
