[2200, 1700]
[paragraph, [373.0, 115.0, 1132.0, 36.0], shoonya_2s339SE2TVZM1S, 5734154]
[paragraph, [373.0, 151.0, 1132.0, 36.0], shoonya_2s339SE2TVZM1S, 5734154]
[paragraph, [373.0, 187.0, 1132.0, 36.0], shoonya_2s339SE2TVZM1S, 5734154]
[paragraph, [373.0, 223.0, 1132.0, 36.0], shoonya_2s339SE2TVZM1S, 5734154]
[paragraph, [373.0, 259.0, 1132.0, 36.0], shoonya_2s339SE2TVZM1S, 5734154]
[paragraph, [373.0, 295.0, 1132.0, 36.0], shoonya_2s339SE2TVZM1S, 5734154]
[paragraph, [373.0, 357.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 393.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 429.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 465.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 501.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 537.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 573.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 609.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 645.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 681.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 717.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 753.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 789.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 825.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 861.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 897.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 933.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [373.0, 969.0, 1132.0, 36.0], shoonya_1sW2V9RIT0R47T, 5734154]
[paragraph, [377.0, 1048.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1084.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1120.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1156.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1192.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1228.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1264.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1300.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1336.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1372.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1408.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1444.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1480.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1516.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1552.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1588.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1624.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1660.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1696.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1732.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1768.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1804.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1840.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [377.0, 1876.0, 1125.0, 36.0], shoonya_0s7X9RU0839Z5F, 5734154]
[paragraph, [471.0, 1957.0, 880.0, 36.0], shoonya_3sQNH46B9KTXRQ, 5734154]
