[3300, 2550]
[reference, [311.0, 271.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 323.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 376.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 428.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 481.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 533.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 586.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 638.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 691.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 743.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 796.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 848.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 901.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 953.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1006.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1058.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1111.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1163.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1216.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1268.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1321.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1373.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1426.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1478.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1531.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1583.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1636.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1688.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1741.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1793.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1846.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1898.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 1951.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2003.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2056.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2108.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2161.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2213.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2266.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2318.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2371.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2423.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2476.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2528.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2581.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2633.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2686.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2738.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2791.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2843.5, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
[reference, [311.0, 2896.0, 1994.0, 52.5], shoonya_0sT0KTJCSEBOUD, 5719904]
