[1492, 1000]
[folio, [416.0, 157.0, 205.0, 18.0], shoonya_1s9N0FOV8TT5PB, 5720401]
[paragraph, [146.0, 212.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 230.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 248.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 266.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 284.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 302.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 320.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 338.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 356.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 374.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 392.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 410.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 428.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 446.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 464.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 482.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 500.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 518.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 536.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 554.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 572.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 590.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 608.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 626.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 644.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 662.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 680.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 698.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 716.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 734.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 752.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 770.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 788.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 806.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 824.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 842.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 860.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 878.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 896.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 914.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [146.0, 932.0, 737.0, 18.0], shoonya_0sJ5Q8DKPNVVWE, 5720401]
[paragraph, [152.0, 960.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 978.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 996.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 1014.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 1032.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 1050.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 1068.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 1086.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 1104.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [152.0, 1122.0, 734.0, 18.0], YoThL-gyJA, 5720401]
[paragraph, [150.0, 1156.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1174.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1192.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1210.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1228.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1246.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1264.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1282.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
[paragraph, [150.0, 1300.0, 733.0, 18.0], 9CMhvtC-mH, 5720401]
