[1951, 1219]
[folio, [249.0, 121.0, 191.0, 36.0], xLq3Ah1w7-, 5683340]
[paragraph, [134.0, 205.0, 962.0, 36.0], shoonya_0s6L8NKRW3CVIP, 5683340]
[paragraph, [134.0, 241.0, 962.0, 36.0], shoonya_0s6L8NKRW3CVIP, 5683340]
[paragraph, [134.0, 277.0, 962.0, 36.0], shoonya_0s6L8NKRW3CVIP, 5683340]
[paragraph, [138.0, 328.0, 957.0, 36.0], d6AhTn_M9L, 5683340]
[paragraph, [138.0, 364.0, 957.0, 36.0], d6AhTn_M9L, 5683340]
[paragraph, [138.0, 400.0, 957.0, 36.0], d6AhTn_M9L, 5683340]
[paragraph, [138.0, 436.0, 957.0, 36.0], d6AhTn_M9L, 5683340]
[paragraph, [140.0, 501.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 537.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 573.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 609.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 645.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 681.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 717.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 753.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [140.0, 789.0, 957.0, 36.0], LAQDwPNPgE, 5683340]
[paragraph, [133.0, 843.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 879.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 915.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 951.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 987.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1023.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1059.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1095.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1131.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1167.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1203.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1239.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1275.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1311.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1347.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1383.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1419.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1455.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [133.0, 1491.0, 966.0, 36.0], _PPk-skD5r, 5683340]
[paragraph, [132.0, 1541.0, 966.0, 36.0], DciOXoG2DR, 5683340]
[paragraph, [132.0, 1577.0, 966.0, 36.0], DciOXoG2DR, 5683340]
[paragraph, [132.0, 1613.0, 966.0, 36.0], DciOXoG2DR, 5683340]
[paragraph, [132.0, 1649.0, 966.0, 36.0], DciOXoG2DR, 5683340]
[paragraph, [132.0, 1685.0, 966.0, 36.0], DciOXoG2DR, 5683340]
[paragraph, [132.0, 1721.0, 966.0, 36.0], DciOXoG2DR, 5683340]
[paragraph, [132.0, 1757.0, 966.0, 36.0], DciOXoG2DR, 5683340]
[paragraph, [132.0, 1793.0, 966.0, 36.0], DciOXoG2DR, 5683340]
