[2339, 1653]
[paragraph, [235.0, 281.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 317.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 353.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 389.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 425.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 461.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 497.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 533.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 569.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 605.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 641.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 677.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 713.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [235.0, 749.0, 1183.0, 36.0], shoonya_0sBPZN30WM83EI, 5685800]
[paragraph, [236.0, 815.0, 1178.0, 36.0], shoonya_3sSCZVSHPKU0JZ, 5685800]
[paragraph, [236.0, 851.0, 1178.0, 36.0], shoonya_3sSCZVSHPKU0JZ, 5685800]
[paragraph, [236.0, 887.0, 1178.0, 36.0], shoonya_3sSCZVSHPKU0JZ, 5685800]
[paragraph, [236.0, 923.0, 1178.0, 36.0], shoonya_3sSCZVSHPKU0JZ, 5685800]
[paragraph, [236.0, 959.0, 1178.0, 36.0], shoonya_3sSCZVSHPKU0JZ, 5685800]
[paragraph, [236.0, 995.0, 1178.0, 36.0], shoonya_3sSCZVSHPKU0JZ, 5685800]
[paragraph, [236.0, 1031.0, 1178.0, 36.0], shoonya_3sSCZVSHPKU0JZ, 5685800]
[paragraph, [236.0, 1113.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1149.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1185.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1221.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1257.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1293.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1329.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1365.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1401.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1437.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1473.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1509.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [236.0, 1545.0, 1180.0, 36.0], shoonya_2sKTLC6JCBYOVJ, 5685800]
[paragraph, [235.0, 1741.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 1777.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 1813.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 1849.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 1885.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 1921.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 1957.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 1993.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 2029.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
[paragraph, [235.0, 2065.0, 1184.0, 36.0], shoonya_1s46EG7J11G2EI, 5685800]
