[720, 504]
[folio, [40.0, 68.0, 113.0, 18.0], 7JnHUTeLZ0, 5650791]
[paragraph, [253.0, 95.0, 215.0, 18.0], HbHaKm2DSk, 5650791]
[paragraph, [253.0, 113.0, 215.0, 18.0], HbHaKm2DSk, 5650791]
[paragraph, [253.0, 131.0, 215.0, 18.0], HbHaKm2DSk, 5650791]
[paragraph, [39.0, 99.0, 209.0, 18.0], shoonya_3s13XAM6QRLYA4, 5650791]
[paragraph, [39.0, 117.0, 209.0, 18.0], shoonya_3s13XAM6QRLYA4, 5650791]
[paragraph, [39.0, 135.0, 209.0, 18.0], shoonya_3s13XAM6QRLYA4, 5650791]
[paragraph, [39.0, 153.0, 209.0, 18.0], shoonya_3s13XAM6QRLYA4, 5650791]
[paragraph, [254.0, 154.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 172.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 190.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 208.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 226.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 244.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 262.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 280.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 298.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 316.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 334.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [254.0, 352.0, 207.0, 18.0], shoonya_0s83LGOH11IP3A, 5650791]
[paragraph, [25.0, 189.0, 223.0, 18.0], CMmBbMsSth, 5650791]
[paragraph, [25.0, 207.0, 223.0, 18.0], CMmBbMsSth, 5650791]
[sidebar, [33.0, 245.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 263.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 281.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 299.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 317.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 335.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 353.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 371.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[sidebar, [33.0, 389.0, 212.0, 18.0], Jla6toHpmA, 5650791]
[paragraph, [255.0, 398.0, 208.0, 18.0], shoonya_1sKRTBD6AVW5U6, 5650791]
[paragraph, [255.0, 416.0, 208.0, 18.0], shoonya_1sKRTBD6AVW5U6, 5650791]
[paragraph, [255.0, 434.0, 208.0, 18.0], shoonya_1sKRTBD6AVW5U6, 5650791]
[paragraph, [255.0, 452.0, 208.0, 18.0], shoonya_1sKRTBD6AVW5U6, 5650791]
[paragraph, [255.0, 470.0, 208.0, 18.0], shoonya_1sKRTBD6AVW5U6, 5650791]
[paragraph, [255.0, 488.0, 208.0, 18.0], shoonya_1sKRTBD6AVW5U6, 5650791]
[paragraph, [32.0, 417.0, 217.0, 18.0], shoonya_5sK35VWEZ9RY27, 5650791]
[paragraph, [32.0, 435.0, 217.0, 18.0], shoonya_5sK35VWEZ9RY27, 5650791]
[paragraph, [32.0, 453.0, 217.0, 18.0], shoonya_5sK35VWEZ9RY27, 5650791]
[paragraph, [32.0, 471.0, 217.0, 18.0], shoonya_5sK35VWEZ9RY27, 5650791]
[paragraph, [32.0, 489.0, 217.0, 18.0], shoonya_5sK35VWEZ9RY27, 5650791]
[paragraph, [37.0, 539.0, 427.0, 18.0], KN_m_k2BIl, 5650791]
[paragraph, [37.0, 557.0, 427.0, 18.0], KN_m_k2BIl, 5650791]
[paragraph, [37.0, 575.0, 427.0, 18.0], KN_m_k2BIl, 5650791]
[paragraph, [37.0, 593.0, 427.0, 18.0], KN_m_k2BIl, 5650791]
[paragraph, [37.0, 611.0, 427.0, 18.0], KN_m_k2BIl, 5650791]
[footnote, [196.0, 681.0, 134.0, 18.0], -ZVZ4jKIf1, 5650791]
