[1806, 1262]
[folio, [753.0, 100.0, 337.0, 36.0], BRlyipy_V8, 5681113]
[paragraph, [100.0, 181.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 217.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 253.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 289.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 325.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 361.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 397.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 433.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 469.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 505.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 541.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 577.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 613.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 649.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 685.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 721.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 757.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 793.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 829.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 865.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 901.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 937.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [100.0, 973.0, 507.0, 36.0], shoonya_0s9KCDXRP0NZ6S, 5681113]
[paragraph, [649.0, 182.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 218.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 254.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 290.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 326.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 362.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 398.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 434.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 470.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 506.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 542.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 578.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 614.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 650.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 686.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 722.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 758.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 794.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 830.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 866.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 902.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 938.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 974.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 1010.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 1046.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 1082.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [649.0, 1118.0, 507.0, 36.0], shoonya_2s1N3Y0QRTQBYE, 5681113]
[paragraph, [102.0, 1018.0, 501.0, 36.0], shoonya_1s1Q7CSQ04YAZD, 5681113]
[paragraph, [102.0, 1054.0, 501.0, 36.0], shoonya_1s1Q7CSQ04YAZD, 5681113]
[paragraph, [102.0, 1090.0, 501.0, 36.0], shoonya_1s1Q7CSQ04YAZD, 5681113]
[paragraph, [102.0, 1126.0, 501.0, 36.0], shoonya_1s1Q7CSQ04YAZD, 5681113]
