[1275, 750]
[folio, [309.0, 89.0, 125.0, 18.0], 0Gp_qK0AuB, 5767683]
[folio, [309.0, 107.0, 125.0, 18.0], 0Gp_qK0AuB, 5767683]
[paragraph, [85.0, 159.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 177.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 195.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 213.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 231.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 249.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 267.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 285.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [85.0, 303.0, 430.0, 18.0], vR1u0RJwl3, 5767683]
[paragraph, [556.0, 328.0, 107.0, 18.0], shoonya_2s5HJVGRXCZ4CZ, 5767683]
[paragraph, [90.0, 379.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 397.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 415.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 433.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 451.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 469.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 487.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 505.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 523.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 541.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[paragraph, [90.0, 559.0, 580.0, 18.0], YHsrj-KQ-J, 5767683]
[section-title, [149.0, 603.0, 468.0, 30.0], shoonya_3sBP29T6CE3RCG, 5767683]
[paragraph, [81.0, 672.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 690.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 708.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 726.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 744.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 762.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 780.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 798.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 816.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 834.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 852.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 870.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 888.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 906.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 924.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 942.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 960.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 978.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 996.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1014.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1032.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1050.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1068.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1086.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1104.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1122.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1140.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1158.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
[paragraph, [81.0, 1176.0, 616.0, 18.0], shoonya_0sVJ9J17VLWPBC, 5767683]
