[635, 412]
[folio, [182.0, 46.0, 48.0, 18.0], CVaheWkgO9, 5721293]
[paragraph, [52.0, 71.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 89.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 107.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 125.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 143.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 161.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 179.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 197.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 215.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 233.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 251.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 269.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 287.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 305.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 323.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 341.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 359.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 377.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 395.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 413.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 431.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 449.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 467.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 485.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 503.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 521.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
[paragraph, [52.0, 539.0, 305.0, 18.0], Qnq-PUeD-X, 5721293]
