[2200, 1700]
[folio, [788.0, 382.0, 145.0, 36.0], shoonya_3sQZ2CQSYT52HU, 5731963]
[paragraph, [462.0, 478.0, 785.0, 36.0], shoonya_4sY48T6WQ83R2Z, 5731963]
[paragraph, [462.0, 514.0, 785.0, 36.0], shoonya_4sY48T6WQ83R2Z, 5731963]
[paragraph, [462.0, 550.0, 785.0, 36.0], shoonya_4sY48T6WQ83R2Z, 5731963]
[paragraph, [460.0, 606.0, 798.0, 36.0], bmjMIudDUc, 5731963]
[paragraph, [460.0, 642.0, 798.0, 36.0], bmjMIudDUc, 5731963]
[paragraph, [460.0, 678.0, 798.0, 36.0], bmjMIudDUc, 5731963]
[paragraph, [460.0, 714.0, 798.0, 36.0], bmjMIudDUc, 5731963]
[paragraph, [463.0, 779.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 815.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 851.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 887.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 923.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 959.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 995.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1031.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1067.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1103.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1139.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1175.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1211.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1247.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1283.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1319.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1355.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1391.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1427.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1463.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1499.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1535.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1571.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1607.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1643.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[paragraph, [463.0, 1679.0, 788.0, 36.0], shoonya_0sY7XG7UZX6MI6, 5731963]
[footnote, [1309.0, 2028.0, 207.0, 36.0], gLjfIcpaBR, 5731963]
[footnote, [1309.0, 2064.0, 207.0, 36.0], gLjfIcpaBR, 5731963]
[folio, [812.0, 2110.0, 182.0, 36.0], shoonya_2s5RH6LKSMD0V7, 5731963]
