[1818, 1374]
[folio, [474.0, 121.0, 425.0, 36.0], shoonya_0sVSZB1WKB28E6, 5683144]
[paragraph, [738.0, 188.0, 458.0, 36.0], W5hAIJSvRG, 5683144]
[paragraph, [105.0, 190.0, 568.0, 36.0], shoonya_1sJXV47YQMUNL0, 5683144]
[paragraph, [105.0, 226.0, 568.0, 36.0], shoonya_1sJXV47YQMUNL0, 5683144]
[paragraph, [105.0, 262.0, 568.0, 36.0], shoonya_1sJXV47YQMUNL0, 5683144]
[paragraph, [105.0, 298.0, 568.0, 36.0], shoonya_1sJXV47YQMUNL0, 5683144]
[paragraph, [702.0, 235.0, 563.0, 36.0], Is2xL0N7_D, 5683144]
[paragraph, [702.0, 271.0, 563.0, 36.0], Is2xL0N7_D, 5683144]
[paragraph, [702.0, 307.0, 563.0, 36.0], Is2xL0N7_D, 5683144]
[paragraph, [702.0, 343.0, 563.0, 36.0], Is2xL0N7_D, 5683144]
[paragraph, [702.0, 379.0, 563.0, 36.0], Is2xL0N7_D, 5683144]
[paragraph, [105.0, 361.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [105.0, 397.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [105.0, 433.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [105.0, 469.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [105.0, 505.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [105.0, 541.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [105.0, 577.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [105.0, 613.0, 569.0, 36.0], YFh8IRikst, 5683144]
[paragraph, [699.0, 451.0, 565.0, 36.0], WUaPNJToJV, 5683144]
[paragraph, [699.0, 487.0, 565.0, 36.0], WUaPNJToJV, 5683144]
[paragraph, [699.0, 523.0, 565.0, 36.0], WUaPNJToJV, 5683144]
[paragraph, [699.0, 559.0, 565.0, 36.0], WUaPNJToJV, 5683144]
[paragraph, [699.0, 595.0, 565.0, 36.0], WUaPNJToJV, 5683144]
[paragraph, [97.0, 660.0, 580.0, 36.0], 3ac_DwbcA7, 5683144]
[paragraph, [97.0, 696.0, 580.0, 36.0], 3ac_DwbcA7, 5683144]
[paragraph, [702.0, 660.0, 559.0, 36.0], GjsYEdWsVB, 5683144]
[paragraph, [702.0, 696.0, 559.0, 36.0], GjsYEdWsVB, 5683144]
[paragraph, [702.0, 732.0, 559.0, 36.0], GjsYEdWsVB, 5683144]
[paragraph, [702.0, 768.0, 559.0, 36.0], GjsYEdWsVB, 5683144]
[paragraph, [101.0, 745.0, 575.0, 36.0], 5ABXQ0unet, 5683144]
[paragraph, [101.0, 781.0, 575.0, 36.0], 5ABXQ0unet, 5683144]
[paragraph, [101.0, 829.0, 577.0, 36.0], b7erYBlRV3, 5683144]
[paragraph, [101.0, 865.0, 577.0, 36.0], b7erYBlRV3, 5683144]
[paragraph, [702.0, 829.0, 561.0, 36.0], 7UINMcBm5z, 5683144]
[paragraph, [702.0, 865.0, 561.0, 36.0], 7UINMcBm5z, 5683144]
[paragraph, [702.0, 901.0, 561.0, 36.0], 7UINMcBm5z, 5683144]
[paragraph, [103.0, 915.0, 575.0, 36.0], fziVHOEs2x, 5683144]
