[710, 559]
[folio, [51.0, 14.0, 123.0, 18.0], 0egnCE-nAO, 5760041]
[paragraph, [49.0, 48.0, 460.0, 18.0], MvbFf3waNb, 5760041]
[paragraph, [49.0, 66.0, 460.0, 18.0], MvbFf3waNb, 5760041]
[paragraph, [49.0, 84.0, 460.0, 18.0], MvbFf3waNb, 5760041]
[paragraph, [49.0, 102.0, 460.0, 18.0], MvbFf3waNb, 5760041]
[paragraph, [50.0, 133.0, 459.0, 18.0], MrQXPpm7QC, 5760041]
[paragraph, [50.0, 151.0, 459.0, 18.0], MrQXPpm7QC, 5760041]
[paragraph, [51.0, 184.0, 457.0, 18.0], a8gJuyEF_B, 5760041]
[paragraph, [51.0, 202.0, 457.0, 18.0], a8gJuyEF_B, 5760041]
[paragraph, [51.0, 220.0, 457.0, 18.0], a8gJuyEF_B, 5760041]
[paragraph, [48.0, 243.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 261.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 279.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 297.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 315.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 333.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 351.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 369.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 387.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 405.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 423.0, 463.0, 18.0], shoonya_2s30YAGF7VESUT, 5760041]
[paragraph, [48.0, 461.0, 462.0, 18.0], shoonya_1sWVI72L7C2ZI6, 5760041]
[paragraph, [48.0, 479.0, 462.0, 18.0], shoonya_1sWVI72L7C2ZI6, 5760041]
[paragraph, [48.0, 497.0, 462.0, 18.0], shoonya_1sWVI72L7C2ZI6, 5760041]
[paragraph, [48.0, 515.0, 462.0, 18.0], shoonya_1sWVI72L7C2ZI6, 5760041]
[paragraph, [45.0, 541.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
[paragraph, [45.0, 559.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
[paragraph, [45.0, 577.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
[paragraph, [45.0, 595.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
[paragraph, [45.0, 613.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
[paragraph, [45.0, 631.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
[paragraph, [45.0, 649.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
[paragraph, [45.0, 667.0, 467.0, 18.0], shoonya_0sOOK1ZT5N4684, 5760041]
