[2200, 1700]
[paragraph, [398.0, 219.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 255.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 291.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 327.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 363.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 399.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 435.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 471.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 507.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 543.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 579.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 615.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 651.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 687.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 723.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 759.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[paragraph, [398.0, 795.0, 897.0, 36.0], shoonya_0s5LH2SQS5ZESJ, 5687042]
[reference, [400.0, 857.0, 243.0, 36.0], shoonya_1sVGA9B6I3VD9P, 5687042]
[section-title, [291.0, 957.0, 241.0, 52.5], shoonya_2s601F2ARQZ0RN, 5687042]
[paragraph, [275.0, 1056.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1092.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1128.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1164.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1200.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1236.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1272.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1308.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1344.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1380.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1416.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1452.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1488.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1524.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1560.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1596.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1632.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1668.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1704.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1740.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1776.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
[paragraph, [275.0, 1812.0, 1141.0, 36.0], shoonya_3sP0F2ECSK2GY6, 5687042]
