[1951, 1219]
[chapter-title, [473.0, 443.0, 312.0, 58.5], I_jba_mFWT, 5682567]
[paragraph, [123.0, 587.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 623.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 659.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 695.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 731.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 767.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 803.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 839.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 875.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 911.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 947.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 983.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 1019.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 1055.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 1091.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [123.0, 1127.0, 975.0, 36.0], shoonya_0sS9GQM2GOD5XY, 5682567]
[paragraph, [121.0, 1190.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1226.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1262.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1298.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1334.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1370.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1406.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1442.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1478.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1514.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1550.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1586.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1622.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1658.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1694.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1730.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
[paragraph, [121.0, 1766.0, 976.0, 36.0], rv1-KfhLzL, 5682567]
