[2067, 1567]
[folio, [1250.0, 191.0, 123.0, 36.0], RIPMkWOSrj, 5735409]
[folio, [191.0, 201.0, 346.0, 36.0], SplW8QjA4r, 5735409]
[paragraph, [191.0, 250.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [191.0, 286.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [191.0, 322.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [191.0, 358.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [191.0, 394.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [191.0, 430.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [191.0, 466.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [191.0, 502.0, 581.0, 36.0], shoonya_5s34LP79PE305U, 5735409]
[paragraph, [790.0, 251.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 287.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 323.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 359.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 395.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 431.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 467.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 503.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 539.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 575.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 611.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [790.0, 647.0, 580.0, 36.0], shoonya_1sIRZ7HFZA92GV, 5735409]
[paragraph, [193.0, 562.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 598.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 634.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 670.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 706.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 742.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 778.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 814.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 850.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 886.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
[paragraph, [193.0, 922.0, 577.0, 36.0], shoonya_0s7DAGQ1Z3M1GK, 5735409]
