[1684, 1191]
[paragraph, [147.0, 165.0, 766.0, 36.0], EoJ7CZ_IUf, 6464105]
[ordered-list, [84.0, 226.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 262.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 298.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 334.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 370.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 406.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 442.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 478.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 514.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 550.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 586.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 622.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 658.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 694.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 730.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 766.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 802.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 838.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 874.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 910.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 946.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 982.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1018.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1054.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1090.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1126.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1162.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1198.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1234.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1270.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1306.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1342.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1378.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[ordered-list, [84.0, 1414.0, 965.0, 36.0], 6BHaTAqGfB, 6464105]
[footnote, [89.0, 1494.0, 933.0, 36.0], lHXl7_z69L, 6464105]
[footnote, [89.0, 1530.0, 933.0, 36.0], lHXl7_z69L, 6464105]
