[595, 454]
[paragraph, [225.0, 63.0, 209.0, 18.0], yATrALozRj, 6460924]
[paragraph, [225.0, 81.0, 209.0, 18.0], yATrALozRj, 6460924]
[paragraph, [225.0, 99.0, 209.0, 18.0], yATrALozRj, 6460924]
[paragraph, [225.0, 117.0, 209.0, 18.0], yATrALozRj, 6460924]
[paragraph, [225.0, 135.0, 209.0, 18.0], yATrALozRj, 6460924]
[paragraph, [225.0, 153.0, 209.0, 18.0], yATrALozRj, 6460924]
[paragraph, [225.0, 171.0, 209.0, 18.0], yATrALozRj, 6460924]
[paragraph, [225.0, 203.0, 205.0, 18.0], zv8M14QSdF, 6460924]
[paragraph, [225.0, 221.0, 205.0, 18.0], zv8M14QSdF, 6460924]
[paragraph, [225.0, 239.0, 205.0, 18.0], zv8M14QSdF, 6460924]
[paragraph, [225.0, 257.0, 205.0, 18.0], zv8M14QSdF, 6460924]
[paragraph, [225.0, 275.0, 205.0, 18.0], zv8M14QSdF, 6460924]
[paragraph, [225.0, 293.0, 205.0, 18.0], zv8M14QSdF, 6460924]
[paragraph, [27.0, 298.0, 201.0, 18.0], shoonya_5s0XY5FIYVBI1F, 6460924]
[paragraph, [27.0, 316.0, 201.0, 18.0], shoonya_5s0XY5FIYVBI1F, 6460924]
[paragraph, [27.0, 334.0, 201.0, 18.0], shoonya_5s0XY5FIYVBI1F, 6460924]
[paragraph, [27.0, 352.0, 201.0, 18.0], shoonya_5s0XY5FIYVBI1F, 6460924]
[paragraph, [27.0, 370.0, 201.0, 18.0], shoonya_5s0XY5FIYVBI1F, 6460924]
[paragraph, [27.0, 388.0, 201.0, 18.0], shoonya_5s0XY5FIYVBI1F, 6460924]
[paragraph, [27.0, 406.0, 201.0, 18.0], shoonya_5s0XY5FIYVBI1F, 6460924]
[paragraph, [232.0, 321.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [232.0, 339.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [232.0, 357.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [232.0, 375.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [232.0, 393.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [232.0, 411.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [232.0, 429.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [232.0, 447.0, 201.0, 18.0], EEBzZces3x, 6460924]
[paragraph, [28.0, 440.0, 202.0, 18.0], MfV4AX2cBP, 6460924]
[paragraph, [28.0, 458.0, 202.0, 18.0], MfV4AX2cBP, 6460924]
[paragraph, [28.0, 476.0, 202.0, 18.0], MfV4AX2cBP, 6460924]
[paragraph, [233.0, 478.0, 199.0, 18.0], C8NRifmLDd, 6460924]
[paragraph, [233.0, 496.0, 199.0, 18.0], C8NRifmLDd, 6460924]
[paragraph, [233.0, 514.0, 199.0, 18.0], C8NRifmLDd, 6460924]
[paragraph, [233.0, 532.0, 199.0, 18.0], C8NRifmLDd, 6460924]
[paragraph, [233.0, 550.0, 199.0, 18.0], C8NRifmLDd, 6460924]
[paragraph, [26.0, 499.0, 204.0, 18.0], FQ7iBTBqLS, 6460924]
[paragraph, [26.0, 517.0, 204.0, 18.0], FQ7iBTBqLS, 6460924]
[paragraph, [26.0, 535.0, 204.0, 18.0], FQ7iBTBqLS, 6460924]
[paragraph, [32.0, 556.0, 197.0, 18.0], afqIR4-HOO, 6460924]
