[1763, 1275]
[answer, [53.0, 685.0, 712.0, 36.0], shoonya_6s8NJULFC9OE34, 5713122]
[answer, [53.0, 721.0, 712.0, 36.0], shoonya_6s8NJULFC9OE34, 5713122]
[answer, [53.0, 757.0, 712.0, 36.0], shoonya_6s8NJULFC9OE34, 5713122]
[answer, [53.0, 793.0, 712.0, 36.0], shoonya_6s8NJULFC9OE34, 5713122]
[answer, [53.0, 829.0, 712.0, 36.0], shoonya_6s8NJULFC9OE34, 5713122]
[answer, [53.0, 865.0, 712.0, 36.0], shoonya_6s8NJULFC9OE34, 5713122]
[answer, [47.0, 1013.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1049.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1085.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1121.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1157.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1193.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1229.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1265.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1301.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1337.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1373.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1409.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1445.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1481.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1517.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1553.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1589.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
[answer, [47.0, 1625.0, 724.0, 36.0], shoonya_7s3SKVHKPJI7TL, 5713122]
