[3508, 2480]
[folio, [1696.0, 306.0, 606.0, 52.5], n_EE4TF7ow, 5727999]
[website-link, [241.0, 309.0, 476.0, 18.0], 3dhobaMciv, 5727999]
[website-link, [241.0, 327.0, 476.0, 18.0], 3dhobaMciv, 5727999]
[website-link, [241.0, 345.0, 476.0, 18.0], 3dhobaMciv, 5727999]
[folio, [1755.0, 362.0, 529.0, 52.5], t6WV84lsrT, 5727999]
[website-link, [253.0, 374.0, 458.0, 18.0], myiEAwVc41, 5727999]
[website-link, [253.0, 392.0, 458.0, 18.0], myiEAwVc41, 5727999]
[website-link, [253.0, 410.0, 458.0, 18.0], myiEAwVc41, 5727999]
[folio, [1653.0, 417.0, 687.0, 52.5], xaRjetxk5I, 5727999]
[website-link, [247.0, 442.0, 461.0, 18.0], qGo9e1yQiS, 5727999]
[website-link, [247.0, 460.0, 461.0, 18.0], qGo9e1yQiS, 5727999]
[website-link, [247.0, 478.0, 461.0, 18.0], qGo9e1yQiS, 5727999]
[flag, [653.0, 766.0, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 818.5, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 871.0, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 923.5, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 976.0, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 1028.5, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 1081.0, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 1133.5, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 1186.0, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[flag, [653.0, 1238.5, 1163.0, 52.5], shoonya_1sDAWVJQQNNJKU, 5727999]
[author, [603.0, 1384.0, 1250.0, 52.5], VnlwlWh8ld, 5727999]
[author, [603.0, 1436.5, 1250.0, 52.5], VnlwlWh8ld, 5727999]
[author, [603.0, 1489.0, 1250.0, 52.5], VnlwlWh8ld, 5727999]
[author, [603.0, 1541.5, 1250.0, 52.5], VnlwlWh8ld, 5727999]
[dateline, [801.0, 1730.0, 774.0, 52.5], W_svuuTI4-, 5727999]
[dateline, [801.0, 1782.5, 774.0, 52.5], W_svuuTI4-, 5727999]
[dateline, [801.0, 1835.0, 774.0, 52.5], W_svuuTI4-, 5727999]
[dateline, [117.0, 1888.0, 507.0, 52.5], TtwOha-idL, 5727999]
[dateline, [117.0, 1940.5, 507.0, 52.5], TtwOha-idL, 5727999]
[dateline, [117.0, 1993.0, 507.0, 52.5], TtwOha-idL, 5727999]
[dateline, [1789.0, 1897.0, 417.0, 52.5], 8C0rfolxu4, 5727999]
[dateline, [1789.0, 1949.5, 417.0, 52.5], 8C0rfolxu4, 5727999]
[dateline, [1789.0, 2002.0, 417.0, 52.5], 8C0rfolxu4, 5727999]
[folio, [1839.0, 2077.0, 334.0, 52.5], ksbKz4mBF8, 5727999]
[folio, [1839.0, 2129.5, 334.0, 52.5], ksbKz4mBF8, 5727999]
[folio, [1839.0, 2182.0, 334.0, 52.5], ksbKz4mBF8, 5727999]
[folio, [1839.0, 2234.5, 334.0, 52.5], ksbKz4mBF8, 5727999]
[folio, [213.0, 2105.0, 297.0, 52.5], uRpDhZ70qq, 5727999]
[folio, [213.0, 2157.5, 297.0, 52.5], uRpDhZ70qq, 5727999]
[folio, [213.0, 2210.0, 297.0, 52.5], uRpDhZ70qq, 5727999]
[section-title, [1089.0, 2249.0, 312.0, 93.0], 1RGubhUvRO, 5727999]
[headline, [510.0, 2429.0, 1448.0, 52.5], l2SMFFG2Z7, 5727999]
[folio, [1006.0, 2824.0, 467.0, 52.5], IlRr5-pP6L, 5727999]
[folio, [1006.0, 2876.5, 467.0, 52.5], IlRr5-pP6L, 5727999]
[folio, [1006.0, 2929.0, 467.0, 52.5], IlRr5-pP6L, 5727999]
[contact-info, [1678.0, 3281.0, 210.0, 52.5], d1ha1Jl11T, 5727999]
[contact-info, [1678.0, 3333.5, 210.0, 52.5], d1ha1Jl11T, 5727999]
[contact-info, [1678.0, 3386.0, 210.0, 52.5], d1ha1Jl11T, 5727999]
[footnote, [232.0, 3331.0, 956.0, 52.5], WSAm4YbHhs, 5727999]
[footnote, [232.0, 3383.5, 956.0, 52.5], WSAm4YbHhs, 5727999]
[website-link, [746.0, 3387.0, 417.0, 18.0], 7y9wvWqIdC, 5727999]
[website-link, [746.0, 3405.0, 417.0, 18.0], 7y9wvWqIdC, 5727999]
