[1728, 1123]
[headline, [243.0, 268.0, 511.0, 37.5], shoonya_0s4OHKNNL98K25, 5753016]
[paragraph, [110.0, 353.0, 780.0, 36.0], yhDcEfV6ks, 5753016]
[paragraph, [110.0, 389.0, 780.0, 36.0], yhDcEfV6ks, 5753016]
[paragraph, [110.0, 425.0, 780.0, 36.0], yhDcEfV6ks, 5753016]
[paragraph, [110.0, 461.0, 780.0, 36.0], yhDcEfV6ks, 5753016]
[paragraph, [110.0, 497.0, 780.0, 36.0], yhDcEfV6ks, 5753016]
[paragraph, [110.0, 533.0, 780.0, 36.0], yhDcEfV6ks, 5753016]
[paragraph, [110.0, 597.0, 783.0, 36.0], DpCtUxDIKI, 5753016]
[paragraph, [110.0, 633.0, 783.0, 36.0], DpCtUxDIKI, 5753016]
[paragraph, [110.0, 669.0, 783.0, 36.0], DpCtUxDIKI, 5753016]
[paragraph, [110.0, 705.0, 783.0, 36.0], DpCtUxDIKI, 5753016]
[paragraph, [110.0, 741.0, 783.0, 36.0], DpCtUxDIKI, 5753016]
[paragraph, [110.0, 777.0, 783.0, 36.0], DpCtUxDIKI, 5753016]
[paragraph, [110.0, 813.0, 783.0, 36.0], DpCtUxDIKI, 5753016]
[paragraph, [110.0, 881.0, 786.0, 36.0], DxbrvJwRA9, 5753016]
[paragraph, [110.0, 917.0, 786.0, 36.0], DxbrvJwRA9, 5753016]
[paragraph, [110.0, 953.0, 786.0, 36.0], DxbrvJwRA9, 5753016]
[paragraph, [110.0, 989.0, 786.0, 36.0], DxbrvJwRA9, 5753016]
[paragraph, [110.0, 1025.0, 786.0, 36.0], DxbrvJwRA9, 5753016]
[paragraph, [110.0, 1061.0, 786.0, 36.0], DxbrvJwRA9, 5753016]
[paragraph, [113.0, 1123.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1159.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1195.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1231.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1267.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1303.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1339.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1375.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [113.0, 1411.0, 780.0, 36.0], Q6QT2EpIGY, 5753016]
[paragraph, [167.0, 1487.0, 724.0, 36.0], 5NbocU0blr, 5753016]
