[3690, 2970]
[folio, [1143.0, 114.0, 688.0, 52.5], shoonya_10sJSO652ODJP5, 5698256]
[ordered-list, [242.0, 252.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 304.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 357.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 409.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 462.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 514.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 567.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 619.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 672.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 724.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 777.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 829.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 882.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 934.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 987.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1039.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1092.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1144.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1197.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1249.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1302.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1354.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1407.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1459.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1512.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1564.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1617.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1669.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1722.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1774.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1827.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1879.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1932.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 1984.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2037.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2089.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2142.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2194.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2247.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2299.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2352.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2404.5, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
[ordered-list, [242.0, 2457.0, 2535.0, 52.5], shoonya_2sITJ8UAW1QS7J, 5698256]
