[1241, 798]
[folio, [92.0, 62.0, 132.0, 18.0], shoonya_2sY92YNQFTOTMV, 5702677]
[paragraph, [85.0, 110.0, 622.0, 18.0], SQVPzVIKBK, 5702677]
[paragraph, [85.0, 128.0, 622.0, 18.0], SQVPzVIKBK, 5702677]
[paragraph, [85.0, 146.0, 622.0, 18.0], SQVPzVIKBK, 5702677]
[paragraph, [85.0, 164.0, 622.0, 18.0], SQVPzVIKBK, 5702677]
[paragraph, [85.0, 207.0, 626.0, 18.0], Hl33q-Y4BT, 5702677]
[paragraph, [85.0, 225.0, 626.0, 18.0], Hl33q-Y4BT, 5702677]
[paragraph, [85.0, 243.0, 626.0, 18.0], Hl33q-Y4BT, 5702677]
[paragraph, [85.0, 261.0, 626.0, 18.0], Hl33q-Y4BT, 5702677]
[paragraph, [85.0, 279.0, 626.0, 18.0], Hl33q-Y4BT, 5702677]
[paragraph, [85.0, 297.0, 626.0, 18.0], Hl33q-Y4BT, 5702677]
[chapter-title, [247.0, 418.0, 303.0, 30.0], shoonya_4sTD8IBELDJ0HP, 5702677]
[chapter-title, [247.0, 448.0, 303.0, 30.0], shoonya_4sTD8IBELDJ0HP, 5702677]
[chapter-title, [247.0, 478.0, 303.0, 30.0], shoonya_4sTD8IBELDJ0HP, 5702677]
[paragraph, [88.0, 530.0, 617.0, 18.0], shoonya_3sZT4ZNVTA9AVS, 5702677]
[paragraph, [88.0, 548.0, 617.0, 18.0], shoonya_3sZT4ZNVTA9AVS, 5702677]
[paragraph, [88.0, 566.0, 617.0, 18.0], shoonya_3sZT4ZNVTA9AVS, 5702677]
[paragraph, [88.0, 584.0, 617.0, 18.0], shoonya_3sZT4ZNVTA9AVS, 5702677]
[paragraph, [88.0, 614.0, 618.0, 18.0], shoonya_5sU8Z0ZWIFMRG1, 5702677]
[paragraph, [88.0, 632.0, 618.0, 18.0], shoonya_5sU8Z0ZWIFMRG1, 5702677]
[paragraph, [88.0, 650.0, 618.0, 18.0], shoonya_5sU8Z0ZWIFMRG1, 5702677]
[paragraph, [88.0, 668.0, 618.0, 18.0], shoonya_5sU8Z0ZWIFMRG1, 5702677]
[paragraph, [93.0, 710.0, 619.0, 18.0], qI2UPV8y9e, 5702677]
[paragraph, [93.0, 728.0, 619.0, 18.0], qI2UPV8y9e, 5702677]
[paragraph, [93.0, 746.0, 619.0, 18.0], qI2UPV8y9e, 5702677]
[paragraph, [93.0, 764.0, 619.0, 18.0], qI2UPV8y9e, 5702677]
[paragraph, [89.0, 809.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [89.0, 827.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [89.0, 845.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [89.0, 863.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [89.0, 881.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [89.0, 899.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [89.0, 917.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [89.0, 935.0, 618.0, 18.0], shoonya_1sCSS3JSX9OWLA, 5702677]
[paragraph, [90.0, 979.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 997.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1015.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1033.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1051.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1069.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1087.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1105.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1123.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
[paragraph, [90.0, 1141.0, 618.0, 18.0], shoonya_0sVLXP8IVN6THN, 5702677]
