[872, 605]
[folio, [31.0, 28.0, 85.0, 18.0], MeR2GoTtKT, 6457496]
[section-title, [254.0, 31.0, 98.0, 30.0], 3tzy2aq7w4, 6457496]
[paragraph, [32.0, 68.0, 266.0, 18.0], Nki7uY_xMd, 6457496]
[paragraph, [32.0, 86.0, 266.0, 18.0], Nki7uY_xMd, 6457496]
[paragraph, [302.0, 70.0, 258.0, 18.0], 5H1v7H7BZD, 6457496]
[paragraph, [303.0, 86.0, 237.0, 18.0], EZHw86UnVE, 6457496]
[paragraph, [301.0, 108.0, 262.0, 18.0], GVSwv8U9IK, 6457496]
[paragraph, [301.0, 126.0, 262.0, 18.0], GVSwv8U9IK, 6457496]
[paragraph, [301.0, 144.0, 262.0, 18.0], GVSwv8U9IK, 6457496]
[paragraph, [44.0, 109.0, 259.0, 18.0], d3UI794UdS, 6457496]
[paragraph, [36.0, 125.0, 268.0, 18.0], -3NvwM4bf3, 6457496]
[paragraph, [36.0, 143.0, 268.0, 18.0], -3NvwM4bf3, 6457496]
[paragraph, [36.0, 161.0, 268.0, 18.0], -3NvwM4bf3, 6457496]
[paragraph, [36.0, 179.0, 268.0, 18.0], -3NvwM4bf3, 6457496]
[paragraph, [36.0, 197.0, 268.0, 18.0], -3NvwM4bf3, 6457496]
[paragraph, [36.0, 215.0, 268.0, 18.0], -3NvwM4bf3, 6457496]
[paragraph, [36.0, 233.0, 268.0, 18.0], -3NvwM4bf3, 6457496]
[paragraph, [302.0, 167.0, 262.0, 18.0], uDCWCkOCcJ, 6457496]
[paragraph, [302.0, 184.0, 260.0, 18.0], oY4vmt3xGN, 6457496]
[paragraph, [302.0, 202.0, 260.0, 18.0], oY4vmt3xGN, 6457496]
[paragraph, [301.0, 220.0, 262.0, 18.0], eLaSQQ7bYN, 6457496]
[paragraph, [301.0, 238.0, 262.0, 18.0], eLaSQQ7bYN, 6457496]
[paragraph, [303.0, 257.0, 259.0, 18.0], fEFSD4GcOM, 6457496]
[paragraph, [303.0, 275.0, 259.0, 18.0], fEFSD4GcOM, 6457496]
[paragraph, [50.0, 265.0, 181.0, 18.0], M9HBuSEec8, 6457496]
[paragraph, [38.0, 284.0, 229.0, 18.0], aPGptqj7Q1, 6457496]
[paragraph, [300.0, 295.0, 261.0, 18.0], vId5CKxHmQ, 6457496]
[paragraph, [300.0, 313.0, 261.0, 18.0], vId5CKxHmQ, 6457496]
[paragraph, [37.0, 304.0, 262.0, 18.0], jY-9kL5jtx, 6457496]
