[1565, 1152]
[paragraph, [618.0, 94.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 130.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 166.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 202.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 238.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 274.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 310.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 346.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 382.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 418.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 454.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 490.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 526.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 562.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 598.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 634.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 670.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 706.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [618.0, 742.0, 448.0, 36.0], shoonya_1sMIOKVLGB8OW8, 5722243]
[paragraph, [95.0, 102.0, 491.0, 36.0], shoonya_3sB10X0BZH4OZS, 5722243]
[paragraph, [95.0, 176.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 212.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 248.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 284.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 320.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 356.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 392.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 428.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 464.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 500.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 536.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 572.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 608.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 644.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 680.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
[paragraph, [95.0, 716.0, 490.0, 36.0], shoonya_4s92H8TVEXU5OP, 5722243]
