[1050, 693]
[folio, [83.0, 78.0, 84.0, 18.0], shoonya_1sWBHM0PPNJCAN, 5701722]
[folio, [83.0, 96.0, 84.0, 18.0], shoonya_1sWBHM0PPNJCAN, 5701722]
[paragraph, [67.0, 117.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 135.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 153.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 171.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 189.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 207.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 225.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 243.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 261.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 279.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 297.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 315.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 333.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 351.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 369.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 387.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 405.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 423.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 441.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 459.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [67.0, 477.0, 544.0, 18.0], shoonya_3sRIDXJ673DHPQ, 5701722]
[paragraph, [70.0, 500.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 518.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 536.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 554.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 572.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 590.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 608.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 626.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 644.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 662.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 680.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 698.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 716.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 734.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 752.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 770.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 788.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 806.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 824.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 842.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 860.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [70.0, 878.0, 537.0, 18.0], shoonya_0sVUU1FRMHK5E5, 5701722]
[paragraph, [79.0, 909.0, 527.0, 18.0], shoonya_4sB0ZQZ46P4VVN, 5701722]
[paragraph, [79.0, 927.0, 527.0, 18.0], shoonya_4sB0ZQZ46P4VVN, 5701722]
[paragraph, [79.0, 945.0, 527.0, 18.0], shoonya_4sB0ZQZ46P4VVN, 5701722]
[paragraph, [79.0, 963.0, 527.0, 18.0], shoonya_4sB0ZQZ46P4VVN, 5701722]
