[3509, 2480]
[paragraph, [362.0, 388.0, 1740.0, 52.5], shoonya_3sQJ6Q4YJXS6SG, 5724594]
[paragraph, [362.0, 440.5, 1740.0, 52.5], shoonya_3sQJ6Q4YJXS6SG, 5724594]
[paragraph, [362.0, 493.0, 1740.0, 52.5], shoonya_3sQJ6Q4YJXS6SG, 5724594]
[paragraph, [362.0, 545.5, 1740.0, 52.5], shoonya_3sQJ6Q4YJXS6SG, 5724594]
[paragraph, [359.0, 632.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 684.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 737.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 789.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 842.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 894.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 947.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 999.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1052.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1104.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1157.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1209.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1262.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1314.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1367.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1419.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1472.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1524.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1577.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1629.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1682.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1734.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1787.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1839.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1892.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1944.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 1997.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 2049.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 2102.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 2154.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 2207.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 2259.5, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [359.0, 2312.0, 1767.0, 52.5], shoonya_0sFBXZ1IWJ5E24, 5724594]
[paragraph, [368.0, 2435.0, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2487.5, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2540.0, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2592.5, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2645.0, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2697.5, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2750.0, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2802.5, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2855.0, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
[paragraph, [368.0, 2907.5, 1765.0, 52.5], shoonya_4sOCGPYR9OOC4T, 5724594]
