[2200, 1700]
[folio, [773.0, 397.0, 146.0, 36.0], SoaxOjnisL, 5731895]
[paragraph, [460.0, 488.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 524.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 560.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 596.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 632.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 668.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 704.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 740.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 776.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 812.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 848.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 884.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [460.0, 920.0, 788.0, 36.0], shoonya_1s43Z5EXGN5QYT, 5731895]
[paragraph, [462.0, 976.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1012.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1048.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1084.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1120.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1156.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1192.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1228.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1264.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1300.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1336.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1372.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1408.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1444.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1480.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1516.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1552.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1588.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1624.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1660.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1696.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[paragraph, [462.0, 1732.0, 792.0, 36.0], shoonya_0sMCX7PNHICWOZ, 5731895]
[footnote, [1300.0, 2019.0, 212.0, 36.0], G37esJAsxW, 5731895]
[footnote, [1300.0, 2055.0, 212.0, 36.0], G37esJAsxW, 5731895]
[footnote, [1300.0, 2091.0, 212.0, 36.0], G37esJAsxW, 5731895]
[folio, [809.0, 2106.0, 170.0, 36.0], CZNnpVbJYT, 5731895]
