[2337, 1700]
[section-title, [671.0, 771.0, 403.0, 52.5], shoonya_4s5FCX645UFVHC, 5656911]
[section-title, [671.0, 823.5, 403.0, 52.5], shoonya_4s5FCX645UFVHC, 5656911]
[unordered-list, [263.0, 915.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 951.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 987.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1023.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1059.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1095.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1131.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1167.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1203.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1239.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1275.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[unordered-list, [263.0, 1311.0, 1276.0, 36.0], shoonya_1sZII61O8OLSD6, 5656911]
[section-title, [289.0, 1377.0, 1247.0, 52.5], bJ3GoxbJFF, 5656911]
[section-title, [289.0, 1429.5, 1247.0, 52.5], bJ3GoxbJFF, 5656911]
[section-title, [289.0, 1482.0, 1247.0, 52.5], bJ3GoxbJFF, 5656911]
[unordered-list, [222.0, 1567.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1603.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1639.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1675.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1711.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1747.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1783.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1819.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1855.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1891.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1927.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1963.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 1999.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 2035.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 2071.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
[unordered-list, [222.0, 2107.0, 1364.0, 36.0], shoonya_0sWTGLE7QU6X45, 5656911]
