[1650, 1050]
[paragraph, [87.0, 97.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 133.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 169.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 205.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 241.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 277.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 313.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 349.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 385.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 421.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 457.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 493.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 529.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 565.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 601.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 637.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 673.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 709.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 745.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 781.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 817.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 853.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 889.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 925.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 961.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 997.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1033.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1069.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1105.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1141.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1177.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1213.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1249.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1285.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1321.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1357.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1393.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[paragraph, [87.0, 1429.0, 843.0, 36.0], shoonya_1sF7G4PNGCY97U, 5732205]
[folio, [415.0, 1516.0, 141.0, 36.0], o84jV-6LrN, 5732205]
