[3509, 2480]
[paragraph, [365.0, 388.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 440.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 493.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 545.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 598.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 650.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 703.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 755.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 808.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 860.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 913.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 965.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1018.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1070.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1123.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1175.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1228.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1280.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1333.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1385.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1438.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1490.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1543.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1595.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1648.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1700.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1753.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1805.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1858.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1910.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 1963.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 2015.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 2068.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 2120.5, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [365.0, 2173.0, 1759.0, 52.5], shoonya_0sGWZH920CQ9IP, 5723617]
[paragraph, [508.0, 2293.0, 1258.0, 52.5], fPCR7fV0f5, 5723617]
[paragraph, [508.0, 2345.5, 1258.0, 52.5], fPCR7fV0f5, 5723617]
[paragraph, [508.0, 2398.0, 1258.0, 52.5], fPCR7fV0f5, 5723617]
[paragraph, [508.0, 2450.5, 1258.0, 52.5], fPCR7fV0f5, 5723617]
[paragraph, [508.0, 2503.0, 1258.0, 52.5], fPCR7fV0f5, 5723617]
[paragraph, [508.0, 2555.5, 1258.0, 52.5], fPCR7fV0f5, 5723617]
[paragraph, [508.0, 2608.0, 1258.0, 52.5], fPCR7fV0f5, 5723617]
[paragraph, [356.0, 2734.0, 1779.0, 52.5], yVuWg8VILW, 5723617]
[paragraph, [356.0, 2786.5, 1779.0, 52.5], yVuWg8VILW, 5723617]
[paragraph, [356.0, 2839.0, 1779.0, 52.5], yVuWg8VILW, 5723617]
[paragraph, [356.0, 2891.5, 1779.0, 52.5], yVuWg8VILW, 5723617]
[paragraph, [356.0, 2944.0, 1779.0, 52.5], yVuWg8VILW, 5723617]
[paragraph, [356.0, 2996.5, 1779.0, 52.5], yVuWg8VILW, 5723617]
[paragraph, [356.0, 3049.0, 1779.0, 52.5], yVuWg8VILW, 5723617]
