[1625, 1211]
[section-title, [795.0, 105.0, 344.0, 49.5], z9pmzMSnd-, 5742899]
[section-title, [795.0, 154.5, 344.0, 49.5], z9pmzMSnd-, 5742899]
[paragraph, [75.0, 111.0, 338.0, 36.0], yGS6rFYz3n, 5742899]
[paragraph, [75.0, 147.0, 338.0, 36.0], yGS6rFYz3n, 5742899]
[paragraph, [75.0, 183.0, 338.0, 36.0], yGS6rFYz3n, 5742899]
[paragraph, [75.0, 219.0, 338.0, 36.0], yGS6rFYz3n, 5742899]
[section-title, [442.0, 117.0, 325.0, 49.5], Y3Uwl34GDl, 5742899]
[sub-section-title, [790.0, 232.0, 347.0, 36.0], Zsp-lCpx4B, 5742899]
[sub-section-title, [790.0, 268.0, 347.0, 36.0], Zsp-lCpx4B, 5742899]
[paragraph, [436.0, 250.0, 334.0, 36.0], dxJxX2wiMz, 5742899]
[paragraph, [436.0, 286.0, 334.0, 36.0], dxJxX2wiMz, 5742899]
[paragraph, [436.0, 322.0, 334.0, 36.0], dxJxX2wiMz, 5742899]
[paragraph, [436.0, 358.0, 334.0, 36.0], dxJxX2wiMz, 5742899]
[paragraph, [80.0, 271.0, 333.0, 36.0], shoonya_6sWEHTDQG1R3JU, 5742899]
[paragraph, [80.0, 307.0, 333.0, 36.0], shoonya_6sWEHTDQG1R3JU, 5742899]
[paragraph, [80.0, 343.0, 333.0, 36.0], shoonya_6sWEHTDQG1R3JU, 5742899]
[paragraph, [80.0, 379.0, 333.0, 36.0], shoonya_6sWEHTDQG1R3JU, 5742899]
[paragraph, [800.0, 346.0, 333.0, 36.0], shoonya_8sJRVZKD28TYYF, 5742899]
[paragraph, [800.0, 382.0, 333.0, 36.0], shoonya_8sJRVZKD28TYYF, 5742899]
[paragraph, [800.0, 418.0, 333.0, 36.0], shoonya_8sJRVZKD28TYYF, 5742899]
[paragraph, [800.0, 454.0, 333.0, 36.0], shoonya_8sJRVZKD28TYYF, 5742899]
[paragraph, [800.0, 490.0, 333.0, 36.0], shoonya_8sJRVZKD28TYYF, 5742899]
[paragraph, [800.0, 526.0, 333.0, 36.0], shoonya_8sJRVZKD28TYYF, 5742899]
[paragraph, [800.0, 562.0, 333.0, 36.0], shoonya_8sJRVZKD28TYYF, 5742899]
[paragraph, [432.0, 421.0, 337.0, 36.0], -lEDgt3bNs, 5742899]
[paragraph, [432.0, 457.0, 337.0, 36.0], -lEDgt3bNs, 5742899]
[paragraph, [432.0, 493.0, 337.0, 36.0], -lEDgt3bNs, 5742899]
[paragraph, [72.0, 480.0, 338.0, 36.0], RAqGZZhDfy, 5742899]
[paragraph, [72.0, 516.0, 338.0, 36.0], RAqGZZhDfy, 5742899]
[paragraph, [72.0, 552.0, 338.0, 36.0], RAqGZZhDfy, 5742899]
[paragraph, [72.0, 588.0, 338.0, 36.0], RAqGZZhDfy, 5742899]
[paragraph, [72.0, 624.0, 338.0, 36.0], RAqGZZhDfy, 5742899]
[paragraph, [72.0, 660.0, 338.0, 36.0], RAqGZZhDfy, 5742899]
[paragraph, [433.0, 574.0, 346.0, 36.0], Z3QriylLBz, 5742899]
[paragraph, [433.0, 610.0, 346.0, 36.0], Z3QriylLBz, 5742899]
