[1152, 739]
[paragraph, [89.0, 179.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 197.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 215.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 233.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 251.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 269.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 287.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 305.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 323.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 341.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 359.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 377.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [89.0, 395.0, 554.0, 18.0], shoonya_1sML2E6DVMOCJN, 5740384]
[paragraph, [91.0, 424.0, 552.0, 18.0], Kao2zx1dqc, 5740384]
[paragraph, [91.0, 442.0, 552.0, 18.0], Kao2zx1dqc, 5740384]
[paragraph, [91.0, 460.0, 552.0, 18.0], Kao2zx1dqc, 5740384]
[paragraph, [153.0, 482.0, 172.0, 18.0], z1q3smuJRv, 5740384]
[paragraph, [96.0, 521.0, 538.0, 18.0], YD-fepGT4k, 5740384]
[paragraph, [96.0, 539.0, 538.0, 18.0], YD-fepGT4k, 5740384]
[paragraph, [96.0, 557.0, 538.0, 18.0], YD-fepGT4k, 5740384]
[paragraph, [151.0, 589.0, 184.0, 18.0], DlqqnXcb6N, 5740384]
[paragraph, [93.0, 625.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 643.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 661.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 679.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 697.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 715.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 733.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 751.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 769.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 787.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 805.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 823.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 841.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 859.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 877.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 895.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 913.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 931.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 949.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 967.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 985.0, 552.0, 18.0], larGyYLOFn, 5740384]
[paragraph, [93.0, 1003.0, 552.0, 18.0], larGyYLOFn, 5740384]
[footnote, [425.0, 1109.0, 258.0, 18.0], kznx9HS4QG, 5740384]
