[792, 612]
[folio, [260.0, 38.0, 83.0, 18.0], ziNcZuTbFp, 6494215]
[paragraph, [94.0, 84.0, 410.0, 18.0], G7vhkAsQid, 6494215]
[paragraph, [94.0, 102.0, 410.0, 18.0], G7vhkAsQid, 6494215]
[paragraph, [94.0, 120.0, 410.0, 18.0], G7vhkAsQid, 6494215]
[paragraph, [92.0, 148.0, 416.0, 18.0], NnP-6-WZy6, 6494215]
[paragraph, [92.0, 166.0, 416.0, 18.0], NnP-6-WZy6, 6494215]
[paragraph, [92.0, 184.0, 416.0, 18.0], NnP-6-WZy6, 6494215]
[paragraph, [93.0, 268.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 286.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 304.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 322.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 340.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 358.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 376.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 394.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 412.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [93.0, 430.0, 412.0, 18.0], tnx3O0RpyE, 6494215]
[paragraph, [95.0, 451.0, 410.0, 18.0], YV9ftbHcCI, 6494215]
[paragraph, [95.0, 469.0, 410.0, 18.0], YV9ftbHcCI, 6494215]
[paragraph, [95.0, 487.0, 410.0, 18.0], YV9ftbHcCI, 6494215]
[paragraph, [95.0, 505.0, 410.0, 18.0], YV9ftbHcCI, 6494215]
[paragraph, [95.0, 523.0, 410.0, 18.0], YV9ftbHcCI, 6494215]
[paragraph, [95.0, 541.0, 410.0, 18.0], YV9ftbHcCI, 6494215]
[paragraph, [92.0, 570.0, 409.0, 18.0], mzfkwiabym, 6494215]
[paragraph, [92.0, 588.0, 409.0, 18.0], mzfkwiabym, 6494215]
[paragraph, [92.0, 606.0, 409.0, 18.0], mzfkwiabym, 6494215]
[paragraph, [92.0, 624.0, 409.0, 18.0], mzfkwiabym, 6494215]
[paragraph, [92.0, 642.0, 409.0, 18.0], mzfkwiabym, 6494215]
[paragraph, [92.0, 660.0, 409.0, 18.0], mzfkwiabym, 6494215]
[paragraph, [92.0, 678.0, 409.0, 18.0], mzfkwiabym, 6494215]
