[2339, 1653]
[paragraph, [325.0, 162.0, 1141.0, 36.0], shoonya_3s42GLZXPHULTJ, 5733625]
[paragraph, [325.0, 198.0, 1141.0, 36.0], shoonya_3s42GLZXPHULTJ, 5733625]
[paragraph, [325.0, 234.0, 1141.0, 36.0], shoonya_3s42GLZXPHULTJ, 5733625]
[paragraph, [325.0, 270.0, 1141.0, 36.0], shoonya_3s42GLZXPHULTJ, 5733625]
[paragraph, [325.0, 332.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 368.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 404.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 440.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 476.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 512.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 548.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 584.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 620.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 656.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 692.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [325.0, 728.0, 1132.0, 36.0], shoonya_2sKR0MPSKL3IHM, 5733625]
[paragraph, [324.0, 878.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 914.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 950.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 986.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1022.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1058.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1094.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1130.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1166.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1202.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1238.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1274.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1310.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1346.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1382.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1418.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1454.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1490.0, 1141.0, 36.0], shoonya_1sYU3GZVCKMPIT, 5733625]
[paragraph, [324.0, 1545.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1581.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1617.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1653.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1689.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1725.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1761.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1797.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1833.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1869.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1905.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1941.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 1977.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 2013.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[paragraph, [324.0, 2049.0, 1136.0, 36.0], shoonya_0sECT2R2D4KYXA, 5733625]
[folio, [1122.0, 2151.0, 276.0, 36.0], uragjDuWZd, 5733625]
