[2339, 1656]
[headline, [650.0, 200.0, 354.0, 67.5], shoonya_1sWKC8JMVG6YJU, 5753064]
[paragraph, [172.0, 327.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 363.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 399.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 435.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 471.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 507.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 543.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 579.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 615.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 651.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 687.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 723.0, 690.0, 36.0], tH4KI0SXIW, 5753064]
[paragraph, [172.0, 920.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 956.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 992.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1028.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1064.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1100.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1136.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1172.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1208.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1244.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1280.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1316.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [172.0, 1352.0, 704.0, 36.0], iwYGnm3xRP, 5753064]
[paragraph, [174.0, 1517.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1553.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1589.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1625.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1661.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1697.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1733.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1769.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1805.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1841.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1877.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[paragraph, [174.0, 1913.0, 715.0, 36.0], g-bVl4dSjx, 5753064]
[folio, [275.0, 2245.0, 429.0, 36.0], tnfFT7JBhT, 5753064]
