[2230, 1630]
[paragraph, [228.0, 236.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 272.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 308.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 344.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 380.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 416.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 452.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 488.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 524.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 560.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 596.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 632.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 668.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [228.0, 704.0, 1166.0, 36.0], WNxoe9GQvf, 5758455]
[paragraph, [341.0, 1229.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1265.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1301.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1337.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1373.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1409.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1445.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1481.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1517.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1553.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1589.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1625.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1661.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
[paragraph, [341.0, 1697.0, 990.0, 36.0], wkAfdrXgFR, 5758455]
