[612, 396]
[folio, [174.0, 34.0, 155.0, 18.0], MD7_c9klFP, 6517494]
[paragraph, [40.0, 67.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 85.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 103.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 121.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 139.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 157.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 175.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 193.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 211.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 229.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 247.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 265.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 283.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 301.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [40.0, 319.0, 316.0, 18.0], shoonya_0sQ8QOP8EZW32R, 6517494]
[paragraph, [39.0, 371.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 389.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 407.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 425.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 443.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 461.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 479.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 497.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 515.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
[paragraph, [39.0, 533.0, 316.0, 18.0], shoonya_1sHNUHNT6XIK1Z, 6517494]
