[1755, 1240]
[folio, [644.0, 77.0, 480.0, 36.0], u7z53UWX1F, 5744475]
[paragraph, [195.0, 204.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 240.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 276.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 312.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 348.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 384.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 420.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 456.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 492.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 528.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 564.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 600.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 636.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 672.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 708.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 744.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 780.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 816.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 852.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 888.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 924.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 960.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 996.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 1032.0, 941.0, 36.0], 4qQOJ7K0ui, 5744475]
[paragraph, [195.0, 1089.0, 936.0, 36.0], PfYhxoH_NO, 5744475]
[paragraph, [195.0, 1125.0, 936.0, 36.0], PfYhxoH_NO, 5744475]
[paragraph, [195.0, 1161.0, 936.0, 36.0], PfYhxoH_NO, 5744475]
[paragraph, [195.0, 1197.0, 936.0, 36.0], PfYhxoH_NO, 5744475]
[paragraph, [196.0, 1246.0, 928.0, 36.0], nWjbwc8hiR, 5744475]
[paragraph, [196.0, 1282.0, 928.0, 36.0], nWjbwc8hiR, 5744475]
[paragraph, [195.0, 1350.0, 933.0, 36.0], I0knsZybSf, 5744475]
[paragraph, [195.0, 1386.0, 933.0, 36.0], I0knsZybSf, 5744475]
[paragraph, [195.0, 1457.0, 931.0, 36.0], bYOO_9HKsj, 5744475]
[paragraph, [195.0, 1493.0, 931.0, 36.0], bYOO_9HKsj, 5744475]
