[1754, 1241]
[contact-info, [336.0, 168.0, 529.0, 36.0], shoonya_8sRFOKHAABXTAE, 6471521]
[contact-info, [336.0, 204.0, 529.0, 36.0], shoonya_8sRFOKHAABXTAE, 6471521]
[contact-info, [336.0, 240.0, 529.0, 36.0], shoonya_8sRFOKHAABXTAE, 6471521]
[contact-info, [336.0, 276.0, 529.0, 36.0], shoonya_8sRFOKHAABXTAE, 6471521]
[contact-info, [874.0, 193.0, 179.0, 36.0], p0xXo2OXbw, 6471521]
[contact-info, [874.0, 229.0, 179.0, 36.0], p0xXo2OXbw, 6471521]
[contact-info, [874.0, 265.0, 179.0, 36.0], p0xXo2OXbw, 6471521]
[contact-info, [874.0, 301.0, 179.0, 36.0], p0xXo2OXbw, 6471521]
[website-link, [882.0, 302.0, 162.0, 18.0], Ni9Xn2S4hm, 6471521]
[folio, [162.0, 334.0, 160.0, 36.0], shoonya_7sHMLCTUMXAOS8, 6471521]
[paragraph, [164.0, 510.0, 921.0, 36.0], shoonya_2sAQ4PD2TL5MZA, 6471521]
[paragraph, [164.0, 546.0, 921.0, 36.0], shoonya_2sAQ4PD2TL5MZA, 6471521]
[paragraph, [165.0, 633.0, 919.0, 36.0], shoonya_4sXUBKCPY0EK58, 6471521]
[paragraph, [165.0, 669.0, 919.0, 36.0], shoonya_4sXUBKCPY0EK58, 6471521]
[paragraph, [165.0, 753.0, 920.0, 36.0], shoonya_0sPPHPOPULLMNE, 6471521]
[paragraph, [165.0, 789.0, 920.0, 36.0], shoonya_0sPPHPOPULLMNE, 6471521]
[paragraph, [165.0, 825.0, 920.0, 36.0], shoonya_0sPPHPOPULLMNE, 6471521]
[paragraph, [165.0, 861.0, 920.0, 36.0], shoonya_0sPPHPOPULLMNE, 6471521]
[paragraph, [165.0, 939.0, 919.0, 36.0], shoonya_1sNORPGHZCQ7Y7, 6471521]
[paragraph, [165.0, 975.0, 919.0, 36.0], shoonya_1sNORPGHZCQ7Y7, 6471521]
[contact-info, [664.0, 1051.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
[contact-info, [664.0, 1087.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
[contact-info, [664.0, 1123.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
[contact-info, [664.0, 1159.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
[contact-info, [664.0, 1195.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
[contact-info, [664.0, 1231.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
[contact-info, [664.0, 1267.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
[contact-info, [664.0, 1303.0, 416.0, 36.0], shoonya_5s2WGVFFEV8DH7, 6471521]
