[668, 446]
[section-title, [156.0, 93.0, 125.0, 30.0], nNyPbE2IMw, 6495850]
[paragraph, [45.0, 137.0, 347.0, 18.0], shoonya_0sI7QDTLPTK9KA, 6495850]
[paragraph, [45.0, 155.0, 347.0, 18.0], shoonya_0sI7QDTLPTK9KA, 6495850]
[paragraph, [45.0, 173.0, 347.0, 18.0], shoonya_0sI7QDTLPTK9KA, 6495850]
[paragraph, [45.0, 191.0, 347.0, 18.0], shoonya_0sI7QDTLPTK9KA, 6495850]
[paragraph, [45.0, 209.0, 347.0, 18.0], shoonya_0sI7QDTLPTK9KA, 6495850]
[paragraph, [45.0, 227.0, 347.0, 18.0], shoonya_0sI7QDTLPTK9KA, 6495850]
[paragraph, [44.0, 258.0, 350.0, 18.0], xbbk5nNktt, 6495850]
[paragraph, [44.0, 276.0, 350.0, 18.0], xbbk5nNktt, 6495850]
[paragraph, [44.0, 294.0, 350.0, 18.0], xbbk5nNktt, 6495850]
[paragraph, [44.0, 312.0, 350.0, 18.0], xbbk5nNktt, 6495850]
[paragraph, [44.0, 330.0, 350.0, 18.0], xbbk5nNktt, 6495850]
[paragraph, [44.0, 348.0, 350.0, 18.0], xbbk5nNktt, 6495850]
[paragraph, [44.0, 366.0, 350.0, 18.0], xbbk5nNktt, 6495850]
[paragraph, [41.0, 393.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 411.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 429.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 447.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 465.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 483.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 501.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 519.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 537.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 555.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
[paragraph, [41.0, 573.0, 356.0, 18.0], WuzDsILoAZ, 6495850]
