[2200, 1700]
[paragraph, [346.0, 66.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 102.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 138.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 174.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 210.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 246.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 282.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 318.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 354.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 390.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 426.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [346.0, 462.0, 1091.0, 36.0], shoonya_3sELKY9VESCGE8, 5730898]
[paragraph, [337.0, 517.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 553.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 589.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 625.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 661.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 697.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 733.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 769.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 805.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 841.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 877.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 913.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 949.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 985.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 1021.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 1057.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 1093.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 1129.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 1165.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [337.0, 1201.0, 1093.0, 36.0], shoonya_0s91GLKBWSKN5J, 5730898]
[paragraph, [339.0, 1246.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1282.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1318.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1354.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1390.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1426.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1462.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1498.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [339.0, 1534.0, 1087.0, 36.0], shoonya_1sS2FL8VC6VQIF, 5730898]
[paragraph, [335.0, 1592.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1628.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1664.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1700.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1736.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1772.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1808.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1844.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[paragraph, [335.0, 1880.0, 1091.0, 36.0], shoonya_2sRECQI84IJATA, 5730898]
[folio, [341.0, 2019.0, 358.0, 36.0], 3DoVfToYlJ, 5730898]
