[1468, 909]
[headline, [86.0, 73.0, 216.0, 25.5], shoonya_2sXPTPYNO3Q6R7, 5770424]
[sub-headline, [252.0, 117.0, 420.0, 25.5], zko0iDcNvt, 5770424]
[sub-headline, [252.0, 142.5, 420.0, 25.5], zko0iDcNvt, 5770424]
[sub-headline, [252.0, 168.0, 420.0, 25.5], zko0iDcNvt, 5770424]
[author, [305.0, 197.0, 315.0, 18.0], a86LiApa_D, 5770424]
[author, [305.0, 215.0, 315.0, 18.0], a86LiApa_D, 5770424]
[paragraph, [69.0, 275.0, 386.0, 18.0], Yg5xvWmsVV, 5770424]
[paragraph, [69.0, 293.0, 386.0, 18.0], Yg5xvWmsVV, 5770424]
[paragraph, [69.0, 311.0, 386.0, 18.0], Yg5xvWmsVV, 5770424]
[paragraph, [69.0, 329.0, 386.0, 18.0], Yg5xvWmsVV, 5770424]
[paragraph, [69.0, 347.0, 386.0, 18.0], Yg5xvWmsVV, 5770424]
[paragraph, [69.0, 365.0, 386.0, 18.0], Yg5xvWmsVV, 5770424]
[paragraph, [69.0, 383.0, 386.0, 18.0], Yg5xvWmsVV, 5770424]
[paragraph, [462.0, 285.0, 372.0, 18.0], iBSbsopyaI, 5770424]
[paragraph, [462.0, 303.0, 372.0, 18.0], iBSbsopyaI, 5770424]
[paragraph, [462.0, 321.0, 372.0, 18.0], iBSbsopyaI, 5770424]
[paragraph, [462.0, 339.0, 372.0, 18.0], iBSbsopyaI, 5770424]
[paragraph, [462.0, 357.0, 372.0, 18.0], iBSbsopyaI, 5770424]
[paragraph, [456.0, 383.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 401.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 419.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 437.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 455.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 473.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 491.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 509.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 527.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 545.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 563.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 581.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 599.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 617.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 635.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [456.0, 653.0, 385.0, 18.0], X-mY7kBgfV, 5770424]
[paragraph, [101.0, 405.0, 338.0, 18.0], EBMLaH2hk2, 5770424]
[paragraph, [101.0, 423.0, 338.0, 18.0], EBMLaH2hk2, 5770424]
[paragraph, [101.0, 441.0, 338.0, 18.0], EBMLaH2hk2, 5770424]
[paragraph, [101.0, 459.0, 338.0, 18.0], EBMLaH2hk2, 5770424]
[paragraph, [101.0, 477.0, 338.0, 18.0], EBMLaH2hk2, 5770424]
[paragraph, [101.0, 495.0, 338.0, 18.0], EBMLaH2hk2, 5770424]
[paragraph, [72.0, 525.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 543.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 561.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 579.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 597.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 615.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 633.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 651.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 669.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 687.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 705.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 723.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 741.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 759.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 777.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 795.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 813.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 831.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 849.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 867.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 885.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 903.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 921.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 939.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 957.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
[paragraph, [72.0, 975.0, 382.0, 18.0], cSfvZmFnQL, 5770424]
