[1650, 1275]
[paragraph, [255.0, 172.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 208.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 244.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 280.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 316.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 352.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 388.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 424.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 460.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 496.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 532.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 568.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 604.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 640.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 676.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [255.0, 712.0, 842.0, 36.0], shoonya_0sXUT2LIF3ME2J, 6471019]
[paragraph, [251.0, 791.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 827.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 863.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 899.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 935.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 971.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1007.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1043.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1079.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1115.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1151.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1187.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1223.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1259.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1295.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1331.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1367.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1403.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
[paragraph, [251.0, 1439.0, 852.0, 36.0], shoonya_1sL2BW0OQBCKA8, 6471019]
