[1650, 1275]
[headline, [533.0, 151.0, 303.0, 37.5], hm11CW3Pmj, 5772218]
[headline, [533.0, 188.5, 303.0, 37.5], hm11CW3Pmj, 5772218]
[headline, [533.0, 226.0, 303.0, 37.5], hm11CW3Pmj, 5772218]
[author, [1014.0, 260.0, 225.0, 36.0], Pb2a3zl6Cq, 5772218]
[paragraph, [144.0, 314.0, 544.0, 36.0], shoonya_4sW7USINF7G2H2, 5772218]
[paragraph, [144.0, 350.0, 544.0, 36.0], shoonya_4sW7USINF7G2H2, 5772218]
[paragraph, [144.0, 386.0, 544.0, 36.0], shoonya_4sW7USINF7G2H2, 5772218]
[paragraph, [144.0, 422.0, 544.0, 36.0], shoonya_4sW7USINF7G2H2, 5772218]
[paragraph, [687.0, 337.0, 545.0, 36.0], shoonya_1sK8Y3DB5ZQSIH, 5772218]
[paragraph, [687.0, 373.0, 545.0, 36.0], shoonya_1sK8Y3DB5ZQSIH, 5772218]
[paragraph, [687.0, 409.0, 545.0, 36.0], shoonya_1sK8Y3DB5ZQSIH, 5772218]
[paragraph, [146.0, 474.0, 540.0, 36.0], shoonya_7sHMQ2NM4EV4QB, 5772218]
[paragraph, [146.0, 510.0, 540.0, 36.0], shoonya_7sHMQ2NM4EV4QB, 5772218]
[paragraph, [687.0, 477.0, 539.0, 36.0], shoonya_3sV59BD4KWK371, 5772218]
[paragraph, [687.0, 513.0, 539.0, 36.0], shoonya_3sV59BD4KWK371, 5772218]
[paragraph, [852.0, 554.0, 373.0, 36.0], shoonya_2sS6O7S1I5HAO2, 5772218]
[paragraph, [852.0, 590.0, 373.0, 36.0], shoonya_2sS6O7S1I5HAO2, 5772218]
[paragraph, [852.0, 626.0, 373.0, 36.0], shoonya_2sS6O7S1I5HAO2, 5772218]
[paragraph, [852.0, 662.0, 373.0, 36.0], shoonya_2sS6O7S1I5HAO2, 5772218]
[paragraph, [852.0, 698.0, 373.0, 36.0], shoonya_2sS6O7S1I5HAO2, 5772218]
[paragraph, [852.0, 734.0, 373.0, 36.0], shoonya_2sS6O7S1I5HAO2, 5772218]
[paragraph, [852.0, 770.0, 373.0, 36.0], shoonya_2sS6O7S1I5HAO2, 5772218]
[paragraph, [851.0, 807.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 843.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 879.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 915.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 951.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 987.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1023.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1059.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1095.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1131.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1167.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1203.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1239.0, 376.0, 36.0], shoonya_5s8OBCRP6K3H6T, 5772218]
[paragraph, [851.0, 1312.0, 378.0, 36.0], OQvtp7taT2, 5772218]
[paragraph, [851.0, 1348.0, 378.0, 36.0], OQvtp7taT2, 5772218]
[paragraph, [853.0, 1410.0, 370.0, 36.0], 5cxEpKcHDm, 5772218]
[paragraph, [853.0, 1446.0, 370.0, 36.0], 5cxEpKcHDm, 5772218]
[paragraph, [845.0, 1517.0, 380.0, 36.0], SB0bKY0pgo, 5772218]
[paragraph, [845.0, 1553.0, 380.0, 36.0], SB0bKY0pgo, 5772218]
[folio, [604.0, 1592.0, 161.0, 36.0], shoonya_9s3OPKZGTEI9ON, 5772218]
