[1728, 1123]
[headline, [385.0, 275.0, 253.0, 37.5], shoonya_1sTIEXK8ZQYFGE, 5752488]
[paragraph, [124.0, 363.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 399.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 435.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 471.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 507.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 543.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 579.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 615.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 651.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 687.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 723.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 759.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [124.0, 795.0, 780.0, 36.0], shoonya_0s7E6JIGBIVXRS, 5752488]
[paragraph, [125.0, 855.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 891.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 927.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 963.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 999.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 1035.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 1071.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 1107.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 1143.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 1179.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [125.0, 1215.0, 778.0, 36.0], shoonya_2sMC9G0VJDPUJZ, 5752488]
[paragraph, [118.0, 1271.0, 785.0, 36.0], shoonya_4sYHBVDRKW7RWG, 5752488]
[paragraph, [118.0, 1307.0, 785.0, 36.0], shoonya_4sYHBVDRKW7RWG, 5752488]
[paragraph, [118.0, 1343.0, 785.0, 36.0], shoonya_4sYHBVDRKW7RWG, 5752488]
[paragraph, [118.0, 1379.0, 785.0, 36.0], shoonya_4sYHBVDRKW7RWG, 5752488]
[paragraph, [118.0, 1415.0, 785.0, 36.0], shoonya_4sYHBVDRKW7RWG, 5752488]
[paragraph, [118.0, 1451.0, 785.0, 36.0], shoonya_4sYHBVDRKW7RWG, 5752488]
[paragraph, [116.0, 1495.0, 787.0, 36.0], f03V2HEIfP, 5752488]
