[1951, 1219]
[folio, [198.0, 123.0, 199.0, 36.0], shoonya_0sTTVFKQP5UQKU, 5682901]
[paragraph, [126.0, 204.0, 964.0, 36.0], Lld5sI8Y_n, 5682901]
[paragraph, [126.0, 240.0, 964.0, 36.0], Lld5sI8Y_n, 5682901]
[paragraph, [126.0, 276.0, 964.0, 36.0], Lld5sI8Y_n, 5682901]
[paragraph, [126.0, 312.0, 964.0, 36.0], Lld5sI8Y_n, 5682901]
[paragraph, [126.0, 348.0, 964.0, 36.0], Lld5sI8Y_n, 5682901]
[paragraph, [126.0, 384.0, 964.0, 36.0], Lld5sI8Y_n, 5682901]
[paragraph, [124.0, 445.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 481.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 517.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 553.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 589.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 625.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 661.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 697.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 733.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 769.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 805.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 841.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 877.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 913.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 949.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 985.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 1021.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 1057.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 1093.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 1129.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 1165.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [124.0, 1201.0, 961.0, 36.0], ayN59nwXbq, 5682901]
[paragraph, [132.0, 1260.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1296.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1332.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1368.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1404.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1440.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1476.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1512.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1548.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1584.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1620.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1656.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1692.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [132.0, 1728.0, 953.0, 36.0], InxDYEtPsh, 5682901]
[paragraph, [211.0, 1780.0, 880.0, 36.0], eO29VqnZf0, 5682901]
