[2067, 1567]
[folio, [1081.0, 192.0, 291.0, 36.0], eQhAwnjCYz, 5735357]
[folio, [178.0, 199.0, 160.0, 36.0], KRQv3vRu2j, 5735357]
[paragraph, [790.0, 248.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 284.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 320.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 356.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 392.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 428.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 464.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 500.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [790.0, 536.0, 582.0, 36.0], shoonya_3sX3J6V95G3749, 5735357]
[paragraph, [455.0, 430.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 466.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 502.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 538.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 574.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 610.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 646.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 682.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [455.0, 718.0, 319.0, 36.0], shoonya_4sVPKKIAMN7LCY, 5735357]
[paragraph, [793.0, 605.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 641.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 677.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 713.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 749.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 785.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 821.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 857.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 893.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 929.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 965.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 1001.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 1037.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [793.0, 1073.0, 577.0, 36.0], shoonya_0sBHHBFHS32GXC, 5735357]
[paragraph, [193.0, 782.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 818.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 854.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 890.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 926.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 962.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 998.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 1034.0, 581.0, 36.0], shoonya_6sFGN0S4MECO62, 5735357]
[paragraph, [193.0, 1095.0, 581.0, 36.0], shoonya_2sZOWN0IC7DA5W, 5735357]
