[2339, 1653]
[folio, [1150.0, 167.0, 198.0, 36.0], shoonya_4s31IUPNQ23IA0, 5685668]
[section-title, [164.0, 244.0, 1160.0, 52.5], shoonya_3sJ9OHZFH9Q3VA, 5685668]
[paragraph, [320.0, 338.0, 1168.0, 36.0], shoonya_0sVDVIKJAS1GPG, 5685668]
[paragraph, [320.0, 374.0, 1168.0, 36.0], shoonya_0sVDVIKJAS1GPG, 5685668]
[paragraph, [320.0, 410.0, 1168.0, 36.0], shoonya_0sVDVIKJAS1GPG, 5685668]
[paragraph, [320.0, 446.0, 1168.0, 36.0], shoonya_0sVDVIKJAS1GPG, 5685668]
[paragraph, [323.0, 494.0, 1167.0, 36.0], SjHfn5NIDq, 5685668]
[paragraph, [323.0, 530.0, 1167.0, 36.0], SjHfn5NIDq, 5685668]
[paragraph, [323.0, 566.0, 1167.0, 36.0], SjHfn5NIDq, 5685668]
[paragraph, [323.0, 602.0, 1167.0, 36.0], SjHfn5NIDq, 5685668]
[paragraph, [323.0, 661.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 697.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 733.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 769.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 805.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 841.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 877.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 913.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 949.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 985.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 1021.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 1057.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 1093.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [323.0, 1129.0, 1168.0, 36.0], Xs57SxVgm6, 5685668]
[paragraph, [321.0, 1206.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1242.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1278.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1314.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1350.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1386.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1422.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1458.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[paragraph, [321.0, 1494.0, 1171.0, 36.0], n-z-WwUK0N, 5685668]
[website-link, [958.0, 1215.0, 525.0, 18.0], uhktYCJU7G, 5685668]
[website-link, [958.0, 1233.0, 525.0, 18.0], uhktYCJU7G, 5685668]
[website-link, [327.0, 1267.0, 396.0, 18.0], gwfFcyTJzu, 5685668]
[website-link, [327.0, 1285.0, 396.0, 18.0], gwfFcyTJzu, 5685668]
[section-title, [166.0, 1554.0, 886.0, 52.5], shoonya_6sBPATH0X3YDD1, 5685668]
[paragraph, [322.0, 1641.0, 1165.0, 36.0], shoonya_1sYGJLXNS9ZKWG, 5685668]
[paragraph, [322.0, 1677.0, 1165.0, 36.0], shoonya_1sYGJLXNS9ZKWG, 5685668]
[paragraph, [322.0, 1713.0, 1165.0, 36.0], shoonya_1sYGJLXNS9ZKWG, 5685668]
[paragraph, [322.0, 1749.0, 1165.0, 36.0], shoonya_1sYGJLXNS9ZKWG, 5685668]
[paragraph, [322.0, 1785.0, 1165.0, 36.0], shoonya_1sYGJLXNS9ZKWG, 5685668]
[paragraph, [320.0, 1839.0, 1170.0, 36.0], shoonya_2sGAEHL0E6E637, 5685668]
[paragraph, [320.0, 1875.0, 1170.0, 36.0], shoonya_2sGAEHL0E6E637, 5685668]
[paragraph, [320.0, 1911.0, 1170.0, 36.0], shoonya_2sGAEHL0E6E637, 5685668]
[paragraph, [320.0, 1947.0, 1170.0, 36.0], shoonya_2sGAEHL0E6E637, 5685668]
[paragraph, [320.0, 1983.0, 1170.0, 36.0], shoonya_2sGAEHL0E6E637, 5685668]
[paragraph, [320.0, 2019.0, 1170.0, 36.0], shoonya_2sGAEHL0E6E637, 5685668]
